accession	organism	kingdom	length	tm_helix_start_leq_90
O42649	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	1194	False
P15865	Rattus norvegicus	Metazoa	219	False
Q9NZ42	Homo sapiens	Metazoa	101	True
Q00IB6	Arabidopsis thaliana	Plants	440	False
G5EGU9	Caenorhabditis elegans	Metazoa	558	False
Q5QGZ9	Homo sapiens	Metazoa	265	True
Q93WJ9	Arabidopsis thaliana	Plants	403	False
Q96RT1	Homo sapiens	Metazoa	1412	False
P20152	Mus musculus	Metazoa	466	False
O43314	Homo sapiens	Metazoa	1243	False
Q8CDK2	Mus musculus	Metazoa	862	False
O14924	Homo sapiens	Metazoa	1447	False
P80147	Sus scrofa	Metazoa	500	False
Q96CJ1	Homo sapiens	Metazoa	260	False
Q08213	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	363	False
Q9UBW8	Homo sapiens	Metazoa	275	False
Q8R3P9	Mus musculus	Metazoa	1054	False
Q8K3V4	Mus musculus	Metazoa	682	False
Q96A26	Homo sapiens	Metazoa	154	False
Q96RU7	Homo sapiens	Metazoa	358	False
Q9SK32	Arabidopsis thaliana	Plants	509	False
Q8TF71	Homo sapiens	Metazoa	515	True
Q8NF50	Homo sapiens	Metazoa	2099	False
Q14653	Homo sapiens	Metazoa	427	False
O35683	Mus musculus	Metazoa	70	True
Q6C354	Yarrowia lipolytica (strain CLIB 122 / E 150)	Fungi	520	False
Q9C7Y2	Arabidopsis thaliana	Plants	229	False
P04992	Petunia hybrida	Plants	477	False
Q9D2N4	Mus musculus	Metazoa	746	False
P33299	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	467	False
Q9DB41	Mus musculus	Metazoa	320	True
Q80VR2	Mus musculus	Metazoa	395	False
Q25321	Locusta migratoria	Metazoa	484	True
A9QM74	Homo sapiens	Metazoa	516	False
Q2LAJ3	Solanum lycopersicum	Plants	846	False
Q9ESV1	Rattus norvegicus	Metazoa	1051	False
Q5W9E7	Arabidopsis thaliana	Plants	659	False
O64883	Arabidopsis thaliana	Plants	560	False
Q5VYK3	Homo sapiens	Metazoa	1845	False
Q86Y25	Homo sapiens	Metazoa	554	False
Q9SQH9	Arabidopsis thaliana	Plants	498	True
Q8CJ26	Mus musculus	Metazoa	228	True
P25025	Homo sapiens	Metazoa	360	True
P62861	Homo sapiens	Metazoa	133	False
P42949	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	149	False
P40617	Homo sapiens	Metazoa	200	False
Q99LD8	Mus musculus	Metazoa	285	False
Q9ZQI7	Arabidopsis thaliana	Plants	456	False
F4I9J7	Arabidopsis thaliana	Plants	202	False
Q03611	Caenorhabditis elegans	Metazoa	733	False
P06350	Oncorhynchus mykiss	Metazoa	207	False
Q9NWT8	Homo sapiens	Metazoa	199	False
Q6SKR5	Xenopus laevis	Metazoa	228	False
Q03246	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	237	False
P52591	Rattus norvegicus	Metazoa	1199	True
P62331	Mus musculus	Metazoa	175	False
P17012	Mus musculus	Metazoa	799	False
Q9HG09	Komagataella pastoris	Fungi	425	False
Q8NB78	Homo sapiens	Metazoa	822	False
Q13426	Homo sapiens	Metazoa	336	False
Q62141	Mus musculus	Metazoa	1098	False
P47138	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	172	False
Q04728	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	441	False
O13894	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	124	False
Q9ZWA6	Arabidopsis thaliana	Plants	506	False
Q9CQH3	Mus musculus	Metazoa	189	True
A2AKX3	Mus musculus	Metazoa	2646	False
Q6ECI4	Homo sapiens	Metazoa	717	False
Q9UIA9	Homo sapiens	Metazoa	1087	False
Q6B9X6	Dictyostelium discoideum	Other	625	False
Q86UA6	Homo sapiens	Metazoa	219	False
Q9VX12	Drosophila melanogaster	Metazoa	359	False
Q8JZL0	Mus musculus	Metazoa	594	False
Q8K136	Mus musculus	Metazoa	229	False
Q24434	Drosophila melanogaster	Metazoa	479	False
P0CT67	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	152	False
P25573	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	417	True
P47196	Rattus norvegicus	Metazoa	480	False
Q9UHX1	Homo sapiens	Metazoa	559	False
P21138	Entamoeba histolytica (strain ATCC 30459 / HM-1:IMSS / ABRM)	Other	233	False
A2AM29	Mus musculus	Metazoa	569	False
Q08702	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	217	False
Q9USJ7	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	393	False
O89043	Rattus norvegicus	Metazoa	600	False
Q15942	Homo sapiens	Metazoa	572	False
Q08913	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	375	True
Q8NCD3	Homo sapiens	Metazoa	748	False
Q9SQ70	Papaver somniferum	Plants	321	False
Q80VY9	Mus musculus	Metazoa	698	False
P55073	Homo sapiens	Metazoa	304	True
Q9LIH6	Arabidopsis thaliana	Plants	330	False
Q8GUL2	Arabidopsis thaliana	Plants	958	False
P19836	Rattus norvegicus	Metazoa	367	False
Q9Z2T2	Rattus norvegicus	Metazoa	336	True
Q02759	Rattus norvegicus	Metazoa	663	False
P30793	Homo sapiens	Metazoa	250	False
Q1MTM9	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	977	False
O88705	Mus musculus	Metazoa	779	False
Q6ZPV2	Mus musculus	Metazoa	1559	False
G5EGB2	Caenorhabditis elegans	Metazoa	459	False
H2LNR5	Oryzias latipes	Metazoa	746	False
O00574	Homo sapiens	Metazoa	342	True
P50278	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	321	False
Q9Y572	Homo sapiens	Metazoa	518	False
P28778	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	131	False
Q5SGE0	Rattus norvegicus	Metazoa	1392	False
Q14188	Homo sapiens	Metazoa	446	False
Q8WYQ5	Homo sapiens	Metazoa	773	False
Q9UPN3	Homo sapiens	Metazoa	7388	False
Q7K6X4	Caenorhabditis elegans	Metazoa	497	False
O35430	Rattus norvegicus	Metazoa	839	False
Q66KV4	Xenopus laevis	Metazoa	90	False
Q9GZU7	Homo sapiens	Metazoa	261	False
O59701	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	351	False
Q9Y2I1	Homo sapiens	Metazoa	1504	False
O00268	Homo sapiens	Metazoa	1085	False
Q9HD15	Homo sapiens	Metazoa	224	False
Q8BK84	Mus musculus	Metazoa	215	False
P53540	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	846	False
P41896	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	400	False
Q86TV6	Homo sapiens	Metazoa	843	False
Q8TAE8	Homo sapiens	Metazoa	222	False
Q8N8R5	Homo sapiens	Metazoa	385	False
Q4AE70	Rattus norvegicus	Metazoa	651	False
Q0D9S3	Oryza sativa subsp. japonica	Plants	530	True
Q91WD2	Mus musculus	Metazoa	767	False
Q9Y222	Homo sapiens	Metazoa	760	False
P43273	Arabidopsis thaliana	Plants	330	False
Q8GY84	Arabidopsis thaliana	Plants	456	False
O15234	Homo sapiens	Metazoa	703	False
P13489	Homo sapiens	Metazoa	461	False
Q96CB8	Homo sapiens	Metazoa	462	False
P06601	Drosophila melanogaster	Metazoa	613	False
Q9LFQ9	Arabidopsis thaliana	Plants	359	False
P35803	Mus musculus	Metazoa	328	True
P16671	Homo sapiens	Metazoa	472	True
Q9FI53	Arabidopsis thaliana	Plants	499	False
Q86VL8	Homo sapiens	Metazoa	602	True
Q6BDR8	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	300	False
Q8SX37	Drosophila melanogaster	Metazoa	224	True
Q16254	Homo sapiens	Metazoa	413	False
Q8TF45	Homo sapiens	Metazoa	676	False
P34213	Caenorhabditis elegans	Metazoa	205	False
F4JN35	Arabidopsis thaliana	Plants	512	False
D3Z3K2	Mus musculus	Metazoa	276	False
Q00731	Mus musculus	Metazoa	392	False
Q9Z125	Mus musculus	Metazoa	519	False
Q9H040	Homo sapiens	Metazoa	489	False
P50093	Caenorhabditis elegans	Metazoa	294	True
Q8RXA8	Spinacia oleracea	Plants	235	False
Q95748	Arabidopsis thaliana	Plants	190	False
A2VCW5	Rattus norvegicus	Metazoa	479	True
Q9Z2M4	Rattus norvegicus	Metazoa	292	False
Q8BTQ0	Mus musculus	Metazoa	241	False
P16387	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	420	False
Q96326	Arabidopsis thaliana	Plants	256	True
G7L166	Medicago truncatula	Plants	674	False
L0R6Q1	Homo sapiens	Metazoa	103	True
Q9NW13	Homo sapiens	Metazoa	759	False
Q94F30	Arabidopsis thaliana	Plants	489	False
Q5D869	Arabidopsis thaliana	Plants	1976	False
Q9UI26	Homo sapiens	Metazoa	975	False
F4JCC1	Arabidopsis thaliana	Plants	992	False
B6ZKM3	Carapichea ipecacuanha	Plants	543	False
Q91YR5	Mus musculus	Metazoa	698	False
Q10MI4	Oryza sativa subsp. japonica	Plants	895	False
P53743	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	316	False
Q03281	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	663	False
P40548	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	159	True
Q42290	Arabidopsis thaliana	Plants	531	False
Q07510	Spinacia oleracea	Plants	405	False
Q9NXE4	Homo sapiens	Metazoa	866	False
Q11184	Caenorhabditis elegans	Metazoa	425	False
P32785	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	401	False
Q09738	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	449	False
P22315	Mus musculus	Metazoa	422	False
P56394	Mus musculus	Metazoa	63	False
P36136	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	271	False
Q9FLU1	Arabidopsis thaliana	Plants	454	False
Q96EL3	Homo sapiens	Metazoa	112	False
Q84V18	Chlamydomonas reinhardtii	Plants	754	False
Q60560	Mesocricetus auratus	Metazoa	989	False
Q9H0S4	Homo sapiens	Metazoa	455	False
Q4V7C6	Rattus norvegicus	Metazoa	693	False
P93203	Solanum lycopersicum	Plants	697	False
B9DGI8	Arabidopsis thaliana	Plants	314	False
G3V7L5	Rattus norvegicus	Metazoa	412	False
Q05315	Homo sapiens	Metazoa	142	False
Q9BEA2	Bos taurus	Metazoa	577	False
Q7TSZ8	Mus musculus	Metazoa	514	False
A0MES8	Arabidopsis thaliana	Plants	328	False
P08153	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	709	False
Q99NA2	Mus musculus	Metazoa	322	False
Q9UMS4	Homo sapiens	Metazoa	504	False
O54825	Mus musculus	Metazoa	436	False
Q8R316	Mus musculus	Metazoa	516	False
Q9P7J7	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	437	False
P35735	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	353	True
O88767	Rattus norvegicus	Metazoa	189	False
Q9CQY6	Mus musculus	Metazoa	136	False
Q9ULI0	Homo sapiens	Metazoa	1458	False
Q8NDD1	Homo sapiens	Metazoa	293	False
Q969X0	Homo sapiens	Metazoa	211	False
O60264	Homo sapiens	Metazoa	1052	False
P22778	Ipomoea batatas	Plants	244	False
P45968	Caenorhabditis elegans	Metazoa	339	False
O13709	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	244	False
Q9LU93	Arabidopsis thaliana	Plants	209	False
P40625	Tetrahymena pyriformis	Other	99	False
P22739	Xenopus laevis	Metazoa	499	False
Q9UPS6	Homo sapiens	Metazoa	1966	False
Q9FQ09	Arabidopsis thaliana	Plants	680	False
P34766	Caenorhabditis elegans	Metazoa	270	False
P46963	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	296	False
Q05900	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	231	False
P28230	Mus musculus	Metazoa	283	True
Q20924	Caenorhabditis elegans	Metazoa	473	False
Q27415	Drosophila melanogaster	Metazoa	152	False
Q8CFZ5	Mus musculus	Metazoa	553	True
O23277	Arabidopsis thaliana	Plants	1330	False
Q9M384	Arabidopsis thaliana	Plants	653	False
Q94527	Drosophila melanogaster	Metazoa	971	False
Q9FFW5	Arabidopsis thaliana	Plants	681	False
Q8WUX9	Homo sapiens	Metazoa	453	False
Q9FJG9	Arabidopsis thaliana	Plants	445	False
Q09821	Sus scrofa	Metazoa	138	False
Q86YD1	Homo sapiens	Metazoa	416	False
Q0D2I5	Homo sapiens	Metazoa	559	False
Q05860	Mus musculus	Metazoa	1466	False
Q9NXW2	Homo sapiens	Metazoa	375	False
Q852L0	Oryza sativa subsp. japonica	Plants	707	False
Q9HFF5	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	1205	False
Q9WVL3	Mus musculus	Metazoa	1083	False
P52701	Homo sapiens	Metazoa	1360	False
P10070	Homo sapiens	Metazoa	1586	False
O54942	Mus musculus	Metazoa	218	True
Q9UBS0	Homo sapiens	Metazoa	482	False
Q8NBU5	Homo sapiens	Metazoa	361	True
Q9EPT8	Rattus norvegicus	Metazoa	251	True
P28644	Spinacia oleracea	Plants	233	False
P09884	Homo sapiens	Metazoa	1462	False
Q2YDI5	Bos taurus	Metazoa	212	False
Q15054	Homo sapiens	Metazoa	466	False
Q9SZD4	Arabidopsis thaliana	Plants	443	False
P00060	Solanum lycopersicum	Plants	111	False
Q9P7N2	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	162	False
Q59UY7	Candida albicans (strain SC5314 / ATCC MYA-2876)	Fungi	917	False
O22049	Arabidopsis thaliana	Plants	353	False
P69246	Zea mays	Plants	136	False
Q8K4V2	Rattus norvegicus	Metazoa	953	False
Q61425	Mus musculus	Metazoa	314	False
P48483	Arabidopsis thaliana	Plants	322	False
Q23529	Caenorhabditis elegans	Metazoa	777	False
Q33DK1	Oryza sativa subsp. japonica	Plants	203	False
Q9D855	Mus musculus	Metazoa	111	False
Q6P6U0	Rattus norvegicus	Metazoa	517	False
Q06710	Homo sapiens	Metazoa	450	False
Q07802	Mus musculus	Metazoa	591	False
Q96L50	Homo sapiens	Metazoa	414	False
Q6NYV9	Danio rerio	Metazoa	696	False
P31350	Homo sapiens	Metazoa	389	False
P40897	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	799	False
Q96M94	Homo sapiens	Metazoa	604	False
A0A075D657	Vinca minor	Plants	322	False
F4KF14	Arabidopsis thaliana	Plants	855	False
Q581T1	Trypanosoma brucei brucei (strain 927/4 GUTat10.1)	Other	2167	False
Q22323	Caenorhabditis elegans	Metazoa	283	False
P04921	Homo sapiens	Metazoa	128	True
P34972	Homo sapiens	Metazoa	360	True
A2XKG2	Oryza sativa subsp. indica	Plants	472	False
Q04002	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	1493	False
O43716	Homo sapiens	Metazoa	136	False
Q9DC70	Mus musculus	Metazoa	224	False
Q9LW29	Arabidopsis thaliana	Plants	575	False
P46609	Oryza sativa subsp. japonica	Plants	361	False
P32183	Rattus norvegicus	Metazoa	354	False
Q80U87	Mus musculus	Metazoa	1080	False
Q9LTF7	Arabidopsis thaliana	Plants	201	False
P47988	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	759	False
Q15648	Homo sapiens	Metazoa	1581	False
Q8NFU7	Homo sapiens	Metazoa	2136	False
P47824	Rattus norvegicus	Metazoa	399	True
P25079	Solanum tuberosum	Plants	477	False
Q3C1E9	Gallus gallus	Metazoa	204	False
Q96WW2	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	383	False
Q7ZT01	Xenopus laevis	Metazoa	210	False
Q9HAC7	Homo sapiens	Metazoa	438	False
Q6AYD3	Rattus norvegicus	Metazoa	394	False
P25786	Homo sapiens	Metazoa	263	False
Q92959	Homo sapiens	Metazoa	643	True
Q71DI3	Homo sapiens	Metazoa	136	False
P54728	Mus musculus	Metazoa	416	False
V5IQE0	Neurospora crassa (strain ATCC 24698 / 74-OR23-1A / CBS 708.71 / DSM 1257 / FGSC 987)	Fungi	202	False
Q3TBL6	Mus musculus	Metazoa	204	False
P43246	Homo sapiens	Metazoa	934	False
Q92574	Homo sapiens	Metazoa	1164	False
Q96HJ9	Homo sapiens	Metazoa	113	False
B6HJ92	Penicillium rubens (strain ATCC 28089 / DSM 1075 / NRRL 1951 / Wisconsin 54-1255)	Fungi	552	False
Q16560	Homo sapiens	Metazoa	246	False
P61158	Homo sapiens	Metazoa	418	False
Q7Z5J4	Homo sapiens	Metazoa	1906	False
Q9LZN0	Arabidopsis thaliana	Plants	546	False
Q8BYM8	Mus musculus	Metazoa	551	False
A0A0A6YY25	Mus musculus	Metazoa	723	False
Q8R3U1	Mus musculus	Metazoa	162	False
Q38946	Arabidopsis thaliana	Plants	411	False
Q14765	Homo sapiens	Metazoa	748	False
Q6AT90	Oryza sativa subsp. japonica	Plants	505	False
Q9P804	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	548	False
Q9SAR5	Arabidopsis thaliana	Plants	342	False
P25457	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	250	False
P35499	Homo sapiens	Metazoa	1836	False
Q8WTR7	Homo sapiens	Metazoa	871	False
P08760	Bos taurus	Metazoa	227	False
P00021	Columba livia	Metazoa	105	False
Q5XJV7	Mus musculus	Metazoa	1441	False
O49621	Arabidopsis thaliana	Plants	526	True
O24475	Abies grandis	Plants	628	False
Q3EBQ3	Arabidopsis thaliana	Plants	807	False
P15398	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	1689	False
P12301	Spinacia oleracea	Plants	232	False
Q8CII8	Mus musculus	Metazoa	388	False
G5EFZ3	Caenorhabditis elegans	Metazoa	570	False
O00308	Homo sapiens	Metazoa	870	False
P86924	Trypanosoma brucei brucei	Other	416	False
Q99878	Homo sapiens	Metazoa	128	False
Q9W485	Drosophila melanogaster	Metazoa	1284	False
P40215	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	560	False
Q10666	Caenorhabditis elegans	Metazoa	438	False
O94776	Homo sapiens	Metazoa	668	False
Q801G2	Danio rerio	Metazoa	354	True
Q92366	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	61	False
Q60795	Mus musculus	Metazoa	597	False
O54957	Mus musculus	Metazoa	242	True
P23763	Homo sapiens	Metazoa	118	False
C6SZ50	Glycine max	Plants	211	False
D3ZUI5	Rattus norvegicus	Metazoa	1133	False
Q12055	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	197	False
B5X0I6	Arabidopsis thaliana	Plants	1091	False
Q9C895	Arabidopsis thaliana	Plants	900	False
Q03347	Mus musculus	Metazoa	451	False
P38121	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	705	False
Q9CUU3	Mus musculus	Metazoa	1500	False
Q00361	Bos taurus	Metazoa	71	False
Q9LQ98	Arabidopsis thaliana	Plants	345	False
P19682	Nicotiana sylvestris	Plants	276	False
Q20060	Caenorhabditis elegans	Metazoa	1549	False
Q0JLP9	Oryza sativa subsp. japonica	Plants	467	False
Q62847	Rattus norvegicus	Metazoa	705	False
Q9H813	Homo sapiens	Metazoa	350	True
Q6ZJM9	Oryza sativa subsp. japonica	Plants	563	False
P82920	Bos taurus	Metazoa	87	False
Q96329	Arabidopsis thaliana	Plants	436	False
G5EBN9	Caenorhabditis elegans	Metazoa	600	True
Q64702	Mus musculus	Metazoa	925	False
O95125	Homo sapiens	Metazoa	648	False
Q6IQ55	Homo sapiens	Metazoa	1244	False
P58467	Mus musculus	Metazoa	439	False
Q0WQG8	Arabidopsis thaliana	Plants	467	True
Q9UK17	Homo sapiens	Metazoa	655	False
G5EFY7	Caenorhabditis elegans	Metazoa	295	False
Q62915	Rattus norvegicus	Metazoa	909	False
Q9ULV3	Homo sapiens	Metazoa	898	False
P53313	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	767	False
Q9BRQ6	Homo sapiens	Metazoa	235	False
Q54QR9	Dictyostelium discoideum	Other	584	False
H2KYH4	Caenorhabditis elegans	Metazoa	392	False
P00423	Bos taurus	Metazoa	169	False
Q9GZL7	Homo sapiens	Metazoa	423	False
P49957	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	279	False
Q53GL0	Homo sapiens	Metazoa	409	False
Q8NAP3	Homo sapiens	Metazoa	1195	False
P47102	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	1408	False
Q8NE71	Homo sapiens	Metazoa	845	False
Q92664	Homo sapiens	Metazoa	365	False
O88576	Mus musculus	Metazoa	615	True
Q96FF9	Homo sapiens	Metazoa	252	False
P49869	Drosophila melanogaster	Metazoa	1073	False
P48349	Arabidopsis thaliana	Plants	248	False
F4JZY1	Arabidopsis thaliana	Plants	1586	False
F4IHY7	Arabidopsis thaliana	Plants	527	False
Q3U1J0	Mus musculus	Metazoa	479	True
Q9S850	Arabidopsis thaliana	Plants	393	False
Q8C6L5	Mus musculus	Metazoa	507	False
Q9BUZ4	Homo sapiens	Metazoa	470	False
Q12778	Homo sapiens	Metazoa	655	False
O80990	Arabidopsis thaliana	Plants	352	False
Q8BHK3	Mus musculus	Metazoa	478	True
P00430	Bos taurus	Metazoa	63	True
P40038	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	420	False
P31000	Rattus norvegicus	Metazoa	466	False
P04909	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	132	False
A0A075TRA9	Penicillium expansum	Fungi	546	True
Q64373	Mus musculus	Metazoa	233	False
Q9Y463	Homo sapiens	Metazoa	629	False
Q10953	Caenorhabditis elegans	Metazoa	796	False
O94768	Homo sapiens	Metazoa	372	False
Q04003	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	481	False
Q93Y32	Arabidopsis thaliana	Plants	384	False
Q8R3C6	Mus musculus	Metazoa	952	False
P38198	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	1513	False
P41921	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	483	False
Q8IMA8	Drosophila melanogaster	Metazoa	1192	False
Q6KAU8	Mus musculus	Metazoa	623	False
A1L1K8	Rattus norvegicus	Metazoa	411	False
P38804	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	111	False
Q9UT50	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	485	False
Q96PK6	Homo sapiens	Metazoa	669	False
O13600	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	209	False
Q9DA75	Mus musculus	Metazoa	534	True
O96237	Plasmodium falciparum (isolate 3D7)	Other	899	False
Q9FMG4	Arabidopsis thaliana	Plants	303	False
Q9BTX1	Homo sapiens	Metazoa	674	True
Q9ZT91	Arabidopsis thaliana	Plants	454	False
Q04364	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	514	False
Q38890	Arabidopsis thaliana	Plants	621	True
Q9VRV7	Drosophila melanogaster	Metazoa	121	False
P92983	Arabidopsis thaliana	Plants	499	False
P48561	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	642	False
P53835	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	661	True
P57764	Homo sapiens	Metazoa	484	False
A0A3Q7HWE4	Solanum lycopersicum	Plants	165	False
P25453	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	334	False
Q6QLQ4	Mus musculus	Metazoa	244	True
P54345	Chlamydomonas reinhardtii	Plants	156	False
Q61467	Mus musculus	Metazoa	341	False
P17809	Mus musculus	Metazoa	492	True
P30775	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	413	False
P13681	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	327	False
