accession	organism	kingdom	length	sp_cleavage_site	label	tm_helix_start_leq_90	fold
Q03178	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	341	18.0	1		1
P14632	Sus scrofa	Metazoa	704	19.0	1		2
Q6UXG3	Homo sapiens	Metazoa	332	18.0	1		2
Q6UX39	Homo sapiens	Metazoa	209	16.0	1		5
P13205	Rattus norvegicus	Metazoa	121	26.0	1		3
Q09022	Xenopus laevis	Metazoa	84	18.0	1		3
O02853	Bos taurus	Metazoa	191	28.0	1		3
Q29411	Sus scrofa	Metazoa	383	21.0	1		4
P06911	Rattus norvegicus	Metazoa	188	19.0	1		3
Q62632	Rattus norvegicus	Metazoa	306	18.0	1		4
P50694	Prunus avium	Plants	245	23.0	1		3
P56829	Ovis aries	Metazoa	195	23.0	1		4
P35777	Solenopsis invicta	Metazoa	137	19.0	1		2
P25497	Pseudechis australis	Metazoa	83	21.0	1		1
Q9VH14	Drosophila melanogaster	Metazoa	210	27.0	1		1
O60609	Homo sapiens	Metazoa	400	31.0	1		3
P0DJD7	Homo sapiens	Metazoa	388	15.0	1		2
P29457	Rattus norvegicus	Metazoa	417	17.0	1		5
P16612	Rattus norvegicus	Metazoa	214	26.0	1		4
P43077	Candida albicans	Fungi	562	22.0	1		5
P15522	Camelus dromedarius	Metazoa	155	18.0	1		3
P0C292	Androctonus crassicauda	Metazoa	80	22.0	1		5
Q6YZY5	Oryza sativa subsp. japonica	Plants	224	22.0	1		2
P11069	Lumbricus terrestris	Metazoa	170	17.0	1		5
F1N2K1	Bos taurus	Metazoa	508	31.0	1		2
C0H9B6	Salmo salar	Metazoa	413	19.0	1		1
Q8NBP7	Homo sapiens	Metazoa	692	30.0	1		2
Q76FB0	Cyanidium caldarium	Other	155	20.0	1		1
Q9UAD0	Olivierus martensii	Metazoa	59	24.0	1		1
P02659	Gallus gallus	Metazoa	106	24.0	1		3
P12319	Homo sapiens	Metazoa	257	25.0	1		5
P58823	Phaseolus vulgaris	Plants	342	29.0	1		1
P04062	Homo sapiens	Metazoa	536	39.0	1		1
O80323	Pyrus pyrifolia	Plants	222	22.0	1		2
Q78CF9	Notechis ater	Metazoa	200	19.0	1		3
Q70DJ5	Arachis hypogaea	Plants	280	26.0	1		1
Q868Z9	Drosophila melanogaster	Metazoa	2898	26.0	1		5
P00736	Homo sapiens	Metazoa	705	17.0	1		1
P0CB51	Coccidioides posadasii (strain RMSCC 757 / Silveira)	Fungi	427	17.0	1		5
P07981	Hypocrea jecorina	Fungi	459	22.0	1		1
Q9N2D2	Callithrix jacchus	Metazoa	381	16.0	1		4
P18632	Cryptomeria japonica	Plants	374	21.0	1		2
Q6UWE3	Homo sapiens	Metazoa	100	21.0	1		2
F5CPD3	Micrurus altirostris	Metazoa	85	21.0	1		2
P10279	Bos taurus	Metazoa	264	24.0	1		5
Q8L5C6	Triticum aestivum	Plants	304	30.0	1		2
P35495	Sus scrofa	Metazoa	133	24.0	1		4
Q9R1T7	Rattus norvegicus	Metazoa	200	20.0	1		3
Q96TU3	Aspergillus awamori	Fungi	537	19.0	1		1
P33436	Rattus norvegicus	Metazoa	662	29.0	1		5
P19957	Homo sapiens	Metazoa	117	22.0	1		1
O00602	Homo sapiens	Metazoa	326	29.0	1		5
P00794	Bos taurus	Metazoa	381	16.0	1		4
Q9YGN4	Gloydius brevicauda	Metazoa	145	23.0	1		2
D3GDK4	Cryptopygus antarcticus	Metazoa	225	15.0	1		1
Q6UXK5	Homo sapiens	Metazoa	716	25.0	1		1
P56202	Homo sapiens	Metazoa	376	21.0	1		4
P01479	Androctonus australis	Metazoa	83	19.0	1		3
P52753	Cryphonectria parasitica	Fungi	118	22.0	1		1
P09923	Homo sapiens	Metazoa	528	19.0	1		2
P09462	Ovis aries	Metazoa	142	19.0	1		1
P82358	Acanthoscurria gomesiana	Metazoa	84	23.0	1		4
P00684	Rattus norvegicus	Metazoa	152	25.0	1		5
C0HL62	Drosophila melanogaster	Metazoa	104	18.0	1		5
Q23997	Drosophila melanogaster	Metazoa	452	18.0	1		4
P04639	Rattus norvegicus	Metazoa	259	18.0	1		4
A7L035	Chironex fleckeri	Metazoa	456	20.0	1		4
P19801	Homo sapiens	Metazoa	751	19.0	1		5
Q90WA1	Pseudonaja textilis textilis	Metazoa	83	24.0	1		3
P07359	Homo sapiens	Metazoa	652	16.0	1		4
Q86SD9	Androctonus amoreuxi	Metazoa	86	19.0	1		5
P49121	Agkistrodon contortrix laticinctus	Metazoa	137	16.0	1		2
P26006	Homo sapiens	Metazoa	1051	32.0	1		3
Q696W1	Macrovipera lebetinus	Metazoa	158	23.0	1		5
Q8MMG9	Pimpla hypochondriaca	Metazoa	585	32.0	1		2
P31226	Aquarana catesbeiana	Metazoa	844	19.0	1		4
A6XMY0	Hyas araneus	Metazoa	64	25.0	1		2
Q07831	Entamoeba histolytica	Other	97	20.0	1		5
Q5G8A6	Tityus costatus	Metazoa	87	19.0	1		3
P29701	Ovis aries	Metazoa	364	15.0	1		4
P18329	Dendroaspis angusticeps	Metazoa	80	21.0	1		3
A0A2I8B346	Paralithodes camtschaticus	Metazoa	62	23.0	1		5
Q8TD06	Homo sapiens	Metazoa	166	21.0	1		5
P86872	Margaritifera margaritifera	Metazoa	260	19.0	1		3
Q61001	Mus musculus	Metazoa	3718	40.0	1		1
A0A7M6UMR7	Apis mellifera	Metazoa	1010	16.0	1		1
P93543	Sambucus nigra	Plants	569	28.0	1		2
P24258	Chlamydomonas reinhardtii	Plants	380	20.0	1		3
Q8T0W2	Pimpla hypochondriaca	Metazoa	203	19.0	1		1
Q71DJ5	Arabidopsis thaliana	Plants	393	20.0	1		2
P01724	Mus musculus	Metazoa	129	19.0	1		1
P02774	Homo sapiens	Metazoa	474	16.0	1		3
P81761	Hottentotta tamulus	Metazoa	62	24.0	1		3
Q8MMH0	Pimpla hypochondriaca	Metazoa	109	21.0	1		5
P61769	Homo sapiens	Metazoa	119	20.0	1		3
O55232	Rattus norvegicus	Metazoa	130	32.0	1		3
P21919	Gadus morhua	Metazoa	235	26.0	1		3
P10631	Rattus norvegicus	Metazoa	98	28.0	1		3
O80327	Pyrus pyrifolia	Plants	244	22.0	1		3
P0DL37	Urodacus yaschenkoi	Metazoa	62	24.0	1		3
P13731	Gallus gallus	Metazoa	405	15.0	1		4
P25291	Canis lupus familiaris	Metazoa	509	21.0	1		5
F8QN53	Vipera renardi	Metazoa	137	16.0	1		4
P45663	Centruroides noxius	Metazoa	87	19.0	1		1
P02654	Homo sapiens	Metazoa	83	26.0	1		5
Q9NL38	Pinctada maxima	Metazoa	568	22.0	1		2
Q9NYY1	Homo sapiens	Metazoa	176	24.0	1		1
P02778	Homo sapiens	Metazoa	98	21.0	1		2
Q9BXI9	Homo sapiens	Metazoa	278	46.0	1		4
O04004	Ambrosia artemisiifolia	Plants	118	25.0	1		3
C0HK27	Dioclea lasiophylla	Plants	291	28.0	1		1
P29060	Nicotiana tabacum	Plants	291	22.0	1		2
P63152	Cavia porcellus	Metazoa	143	23.0	1		2
P32881	Homo sapiens	Metazoa	189	23.0	1		3
Q86IV5	Dictyostelium discoideum	Other	258	21.0	1		1
B4FZ87	Zea mays	Plants	396	31.0	1		4
P43307	Homo sapiens	Metazoa	286	18.0	1		1
P04667	Oncorhynchus keta	Metazoa	105	22.0	1		5
P17050	Homo sapiens	Metazoa	411	17.0	1		4
F5CPE4	Micrurus altirostris	Metazoa	83	21.0	1		5
P19134	Oryctolagus cuniculus	Metazoa	695	19.0	1		5
P80356	Avena sativa	Plants	220	19.0	1		2
P07998	Homo sapiens	Metazoa	156	28.0	1		1
Q9ZWA9	Arabidopsis thaliana	Plants	451	25.0	1		4
C0HL63	Drosophila melanogaster	Metazoa	104	18.0	1		3
P01347	Rattus norvegicus	Metazoa	186	22.0	1		2
P67930	Ovis aries	Metazoa	217	27.0	1		1
P02769	Bos taurus	Metazoa	607	18.0	1		4
P45452	Homo sapiens	Metazoa	471	19.0	1		5
P02739	Neovison vison	Metazoa	129	18.0	1		5
P04785	Rattus norvegicus	Metazoa	509	19.0	1		4
Q03405	Homo sapiens	Metazoa	335	22.0	1		5
P02740	Anas platyrhynchos	Metazoa	127	18.0	1		2
P22323	Cavia porcellus	Metazoa	410	24.0	1		1
Q2KJF1	Bos taurus	Metazoa	503	21.0	1		3
P36511	Rattus norvegicus	Metazoa	530	23.0	1		1
P01633	Mus musculus	Metazoa	149	29.0	1		3
Q8RVH5	Glycine max	Plants	433	24.0	1		2
P02782	Rattus norvegicus	Metazoa	111	23.0	1		3
P04430	Homo sapiens	Metazoa	117	22.0	1		3
P79263	Sus scrofa	Metazoa	921	27.0	1		2
P18892	Bos taurus	Metazoa	526	26.0	1		2
Q6IUU3	Rattus norvegicus	Metazoa	750	32.0	1		5
O42414	Gallus gallus	Metazoa	1369	25.0	1		5
Q16568	Homo sapiens	Metazoa	116	27.0	1		4
P12724	Homo sapiens	Metazoa	160	27.0	1		3
P31418	Manduca sexta	Metazoa	166	22.0	1		1
P17301	Homo sapiens	Metazoa	1181	29.0	1		2
Q9UK55	Homo sapiens	Metazoa	444	21.0	1		1
P02765	Homo sapiens	Metazoa	367	18.0	1		4
P07439	Megabalanus rosa	Metazoa	162	24.0	1		3
P26010	Homo sapiens	Metazoa	798	19.0	1		1
P04002	Pseudopleuronectes americanus	Metazoa	82	23.0	1		5
Q8WWA0	Homo sapiens	Metazoa	313	18.0	1		4
Q08334	Homo sapiens	Metazoa	325	19.0	1		1
P0C1X7	Tityus discrepans	Metazoa	83	20.0	1		5
P11151	Bos taurus	Metazoa	478	28.0	1		2
Q9Y258	Homo sapiens	Metazoa	94	23.0	1		3
P22952	Sus scrofa	Metazoa	117	36.0	1		5
P02883	Thaumatococcus daniellii	Plants	235	22.0	1		3
P62931	Pisum sativum	Plants	130	26.0	1		3
P30230	Raphanus sativus	Plants	80	29.0	1		1
I3LGZ3	Sus scrofa	Metazoa	81	24.0	1		2
O08523	Mus musculus	Metazoa	2155	24.0	1		4
C1IC49	Walterinnesia aegyptia	Metazoa	86	21.0	1		2
Q969H8	Homo sapiens	Metazoa	173	31.0	1		1
P50229	Rattus norvegicus	Metazoa	92	23.0	1		5
P86473	Actinidia chinensis var. chinensis	Plants	322	21.0	1		5
Q96BF3	Homo sapiens	Metazoa	282	22.0	1		2
O57385	Deinagkistrodon acutus	Metazoa	138	16.0	1		1
Q1HLC0	Lonomia obliqua	Metazoa	413	18.0	1		4
P25116	Homo sapiens	Metazoa	425	21.0	1		3
Q6T6T4	Bitis gabonica	Metazoa	140	26.0	1		5
P01364	Aplysia californica	Metazoa	108	23.0	1		5
P15226	Tityus serrulatus	Metazoa	84	20.0	1		3
Q8N441	Homo sapiens	Metazoa	504	24.0	1		5
P31809	Mus musculus	Metazoa	521	34.0	1		5
P60215	Tityus obscurus	Metazoa	86	20.0	1		3
P15156	Mesocricetus auratus	Metazoa	695	21.0	1		4
P35248	Rattus norvegicus	Metazoa	374	19.0	1		2
P04284	Solanum lycopersicum	Plants	159	24.0	1		4
A1X159	Perna viridis	Metazoa	431	20.0	1		2
Q9STQ3	Arabidopsis thaliana	Plants	59	27.0	1		4
Q2A783	Triticum aestivum	Plants	285	18.0	1		2
P0DQB8	Scolopendra dehaani	Metazoa	73	20.0	1		5
O93364	Crotalus adamanteus	Metazoa	516	18.0	1		1
Q91XZ2	Mus musculus	Metazoa	779	28.0	1		5
P08541	Rattus norvegicus	Metazoa	530	23.0	1		5
Q62598	Rattus norvegicus	Metazoa	687	17.0	1		1
P81511	Hirudo medicinalis	Metazoa	81	15.0	1		4
P80429	Salmo salar	Metazoa	691	18.0	1		5
P03950	Homo sapiens	Metazoa	147	24.0	1		1
Q3UN54	Mus musculus	Metazoa	99	21.0	1		3
P23083	Homo sapiens	Metazoa	117	19.0	1		1
Q99969	Homo sapiens	Metazoa	163	20.0	1		1
Q96BY9	Homo sapiens	Metazoa	339	30.0	1		2
P0DJD9	Homo sapiens	Metazoa	388	15.0	1		2
P13473	Homo sapiens	Metazoa	410	28.0	1		2
P83880	Pinus monticola	Plants	105	26.0	1		2
P05160	Homo sapiens	Metazoa	661	20.0	1		5
Q8MVA6	Ixodes scapularis	Metazoa	69	23.0	1		5
P02761	Rattus norvegicus	Metazoa	181	19.0	1		3
Q8NJ73	Pyricularia grisea	Fungi	380	21.0	1		1
P29241	Aplysia californica	Metazoa	282	24.0	1		4
E2DQZ5	Protobothrops jerdonii	Metazoa	148	23.0	1		5
O15197	Homo sapiens	Metazoa	1021	31.0	1		4
Q96S96	Homo sapiens	Metazoa	227	22.0	1		2
Q64HC7	Armadillidium vulgare	Metazoa	73	19.0	1		1
Q05443	Bos taurus	Metazoa	342	18.0	1		5
Q8WP90	Solenopsis invicta	Metazoa	153	19.0	1		3
P22864	Aspergillus niger	Fungi	373	19.0	1		3
Q8S2W4	Arabidopsis thaliana	Plants	61	22.0	1		2
Q71QE8	Crotalus viridis viridis	Metazoa	138	16.0	1		3
Q949Y3	Arabidopsis thaliana	Plants	475	30.0	1		1
P34746	Oreochromis mossambicus	Metazoa	204	17.0	1		3
Q9LRC8	Scutellaria baicalensis	Plants	527	25.0	1		4
P19069	Cavia porcellus	Metazoa	1742	19.0	1		5
E7BLC7	Androctonus crassicauda	Metazoa	84	17.0	1		2
P42813	Arabidopsis thaliana	Plants	230	22.0	1		2
P85840	Tityus serrulatus	Metazoa	416	24.0	1		1
Q969N2	Homo sapiens	Metazoa	578	21.0	1		1
P29288	Rattus norvegicus	Metazoa	327	22.0	1		4
Q55U20	Cryptococcus neoformans var. neoformans serotype D (strain B-3501A)	Fungi	458	51.0	1		3
P16611	Sus scrofa	Metazoa	293	27.0	1		5
Q8WPJ2	Mytilus edulis	Metazoa	367	17.0	1		1
Q27083	Tachypleus tridentatus	Metazoa	309	31.0	1		3
Q05359	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	219	22.0	1		4
Q6X4U4	Homo sapiens	Metazoa	206	23.0	1		1
P0C8G7	Pomacea canaliculata	Metazoa	286	30.0	1		4
P03998	Limulus polyphemus	Metazoa	195	20.0	1		4
Q86WA6	Homo sapiens	Metazoa	291	37.0	1		1
P15589	Rattus norvegicus	Metazoa	577	19.0	1		2
P59665	Homo sapiens	Metazoa	94	19.0	1		4
P0DUS8	Doratifera vulnerans	Metazoa	59	17.0	1		4
Q40772	Phytolacca americana	Plants	310	25.0	1		3
P02751	Homo sapiens	Metazoa	2477	31.0	1		5
Q96AP7	Homo sapiens	Metazoa	390	29.0	1		4
Q9BJX2	Olivierus martensii	Metazoa	54	23.0	1		1
P41547	Canis lupus familiaris	Metazoa	130	25.0	1		5
C0HL83	Stellaria media	Plants	81	31.0	1		1
O59896	Pycnoporus cinnabarinus	Fungi	518	21.0	1		1
Q9NSA1	Homo sapiens	Metazoa	209	28.0	1		3
Q9PWI4	Elaphe quadrivirgata	Metazoa	202	19.0	1		2
Q94637	Oscheius tipulae	Metazoa	1648	15.0	1		4
Q9DEA2	Deinagkistrodon acutus	Metazoa	155	23.0	1		5
P83869	Drosophila melanogaster	Metazoa	46	22.0	1		2
P29459	Homo sapiens	Metazoa	219	22.0	1		1
C0HJQ8	Mesobuthus eupeus	Metazoa	58	21.0	1		1
P19883	Homo sapiens	Metazoa	344	29.0	1		1
Q75WF2	Acanthaster planci	Metazoa	358	26.0	1		4
Q09131	Glycine max	Plants	464	30.0	1		3
Q63345	Rattus norvegicus	Metazoa	245	27.0	1		2
P02771	Homo sapiens	Metazoa	609	18.0	1		4
Q7SCE9	Neurospora crassa (strain ATCC 24698 / 74-OR23-1A / CBS 708.71 / DSM 1257 / FGSC 987)	Fungi	385	18.0	1		5
Q9Z0M9	Mus musculus	Metazoa	193	28.0	1		1
P32802	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	667	22.0	1		5
P29794	Canis lupus familiaris	Metazoa	180	20.0	1		2
P29029	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	562	20.0	1		1
C0HL82	Stellaria media	Plants	81	31.0	1		5
P00996	Bos taurus	Metazoa	79	23.0	1		1
P14384	Homo sapiens	Metazoa	443	17.0	1		5
P05305	Homo sapiens	Metazoa	212	17.0	1		2
P01148	Homo sapiens	Metazoa	92	23.0	1		4
P06865	Homo sapiens	Metazoa	529	22.0	1		2
P80188	Homo sapiens	Metazoa	198	20.0	1		5
Q6XE38	Homo sapiens	Metazoa	83	21.0	1		1
Q9U8W8	Tachypleus tridentatus	Metazoa	292	23.0	1		4
P01567	Homo sapiens	Metazoa	189	23.0	1		3
Q03044	Didelphis virginiana	Metazoa	410	21.0	1		5
A8E2V8	Trimeresurus gracilis	Metazoa	139	16.0	1		1
P07477	Homo sapiens	Metazoa	247	15.0	1		4
P05113	Homo sapiens	Metazoa	134	19.0	1		3
P67875	Aspergillus fumigatus (strain ATCC MYA-4609 / CBS 101355 / FGSC A1100 / Af293)	Fungi	176	27.0	1		3
P01183	Sus scrofa	Metazoa	166	19.0	1		4
Q7ZT99	Crotalus atrox	Metazoa	240	19.0	1		1
Q09332	Drosophila melanogaster	Metazoa	1548	22.0	1		1
A0A3N2PQC3	Sodiomyces alkalinus (strain CBS 110278 / VKM F-3762 / F11)	Fungi	99	26.0	1		3
P00738	Homo sapiens	Metazoa	406	18.0	1		2
C0HL38	Trichonephila clavata	Metazoa	60	19.0	1		5
P21741	Homo sapiens	Metazoa	143	20.0	1		5
W5XDM0	Macrovipera lebetinus	Metazoa	152	23.0	1		2
P20507	Chlamydomonas reinhardtii	Plants	377	20.0	1		4
P82144	Gloydius brevicaudus siniticus	Metazoa	200	19.0	1		1
P31515	Xenopus laevis	Metazoa	341	29.0	1		5
Q9Y2I2	Homo sapiens	Metazoa	539	28.0	1		4
P15478	Solanum tuberosum	Plants	386	23.0	1		2
P35334	Phaseolus vulgaris	Plants	342	29.0	1		4
Q8BHP7	Mus musculus	Metazoa	681	32.0	1		3
O73856	Naja sputatrix	Metazoa	81	21.0	1		2
P00702	Phasianus colchicus colchicus	Metazoa	147	17.0	1		1
Q91Z98	Mus musculus	Metazoa	402	21.0	1		1
P08514	Homo sapiens	Metazoa	1039	31.0	1		3
P01224	Sus scrofa	Metazoa	138	20.0	1		3
P06207	Limulus polyphemus	Metazoa	242	24.0	1		2
Q5NAT0	Oryza sativa subsp. japonica	Plants	640	34.0	1		5
C0HJZ1	Arachis hypogaea	Plants	72	25.0	1		5
P51868	Rattus norvegicus	Metazoa	413	19.0	1		5
Q07325	Homo sapiens	Metazoa	125	22.0	1		2
Q08127	Anguilla anguilla	Metazoa	147	20.0	1		5
Q963A9	Aedes albopictus	Metazoa	60	24.0	1		5
P18181	Mus musculus	Metazoa	240	22.0	1		2
Q8H6Q1	Petunia hybrida	Plants	103	25.0	1		2
P07237	Homo sapiens	Metazoa	508	17.0	1		1
O09165	Mus musculus	Metazoa	405	34.0	1		3
B0XRV0	Aspergillus fumigatus (strain CBS 144.89 / FGSC A1163 / CEA10)	Fungi	721	18.0	1		3
A8CG89	Daboia russelii	Metazoa	138	16.0	1		3
Q2YHJ7	Craspedocephalus puniceus	Metazoa	138	16.0	1		2
P01323	Rattus norvegicus	Metazoa	110	24.0	1		3
P02810	Homo sapiens	Metazoa	166	16.0	1		3
Q9SU40	Arabidopsis thaliana	Plants	587	20.0	1		1
P08603	Homo sapiens	Metazoa	1231	18.0	1		1
P01037	Homo sapiens	Metazoa	141	20.0	1		5
A0A4P9I8G4	Waitea arvalis	Fungi	238	20.0	1		1
A0A0A1I6N9	Androctonus crassicauda	Metazoa	74	22.0	1		1
P00995	Homo sapiens	Metazoa	79	23.0	1		3
P00748	Homo sapiens	Metazoa	615	19.0	1		2
P16094	Momordica charantia	Plants	286	23.0	1		3
Q2PWA3	Protobothrops mucrosquamatus	Metazoa	138	16.0	1		4
P14133	Cucumis sativus	Plants	587	33.0	1		5
P04003	Homo sapiens	Metazoa	597	48.0	1		2
B2NHN2	Talaromyces funiculosus	Fungi	339	20.0	1		1
Q62005	Mus musculus	Metazoa	623	20.0	1		3
P01634	Mus musculus	Metazoa	136	29.0	1		2
B3STN7	Nosema bombycis (strain CQ1 / CVCC 102059)	Fungi	316	18.0	1		1
P14562	Rattus norvegicus	Metazoa	407	21.0	1		4
C0HKR1	Agrotis ipsilon	Metazoa	73	20.0	1		4
P14214	Tachypleus tridentatus	Metazoa	77	23.0	1		3
Q91XZ4	Mus musculus	Metazoa	772	28.0	1		2
Q9Y4X3	Homo sapiens	Metazoa	112	24.0	1		4
Q90W54	Gloydius blomhoffii	Metazoa	504	18.0	1		5
O00175	Homo sapiens	Metazoa	119	26.0	1		3
Q70LM3	Phlebia radiata	Fungi	390	23.0	1		2
Q1ZY03	Deinagkistrodon acutus	Metazoa	138	16.0	1		3
P00989	Bungarus multicinctus	Metazoa	85	24.0	1		2
P11839	Ovis aries	Metazoa	222	15.0	1		1
Q9UBT3	Homo sapiens	Metazoa	224	18.0	1		5
Q25055	Holotrichia diomphalia	Metazoa	104	20.0	1		1
A8QL52	Bungarus fasciatus	Metazoa	517	19.0	1		4
P35501	Myzus persicae	Metazoa	552	23.0	1		1
G5EC68	Caenorhabditis elegans	Metazoa	85	17.0	1		4
