accession	organism	kingdom	length	sp_cleavage_site
Q24825	Entamoeba histolytica (strain ATCC 30459 / HM-1:IMSS / ABRM)	Other	101	24
Q95VF0	Epiphyas postvittana	Metazoa	164	23
O43278	Homo sapiens	Metazoa	529	35
A0A7J6K7Y0	Toxoplasma gondii	Other	640	70
P55847	Penaeus japonicus	Metazoa	105	28
P18761	Mus musculus	Metazoa	317	17
P20029	Mus musculus	Metazoa	655	19
O08795	Mus musculus	Metazoa	521	14
P02758	Equus caballus	Metazoa	180	18
B0FHH8	Manduca sexta	Metazoa	151	18
Q62894	Rattus norvegicus	Metazoa	562	19
P27654	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	210	19
P36368	Mus musculus	Metazoa	261	16
P01295	Gallus gallus	Metazoa	164	27
P35331	Gallus gallus	Metazoa	1284	24
Q4W1I8	Zinnia elegans	Plants	321	30
P01177	Sus scrofa	Metazoa	125	19
C9X4K1	Tityus discrepans	Metazoa	83	20
O96059	Bombyx mori	Metazoa	66	24
P10153	Homo sapiens	Metazoa	161	27
P0DJJ8	Protobothrops flavoviridis	Metazoa	138	16
B0KZK1	Acarus siro	Metazoa	517	21
Q63041	Rattus norvegicus	Metazoa	1500	24
P08833	Homo sapiens	Metazoa	259	25
P86100	Olivierus martensii	Metazoa	410	25
P28800	Bos taurus	Metazoa	492	22
P04634	Rattus norvegicus	Metazoa	395	18
P05366	Mus musculus	Metazoa	122	19
P35578	Zootoca vivipara	Metazoa	172	21
P01709	Homo sapiens	Metazoa	118	19
P83326	Actinidia deliciosa	Plants	185	32
Q8I034	Felis catus	Metazoa	545	28
A6MEY4	Bungarus fasciatus	Metazoa	145	27
Q9M069	Arabidopsis thaliana	Plants	504	22
P91627	Drosophila miranda	Metazoa	138	16
Q94EG3	Nicotiana langsdorffii x Nicotiana sanderae	Plants	229	32
Q8T635	Manduca sexta	Metazoa	200	18
P13598	Homo sapiens	Metazoa	275	24
Q39649	Cucurbita maxima	Plants	141	22
B8AL97	Oryza sativa subsp. indica	Plants	470	34
P21128	Homo sapiens	Metazoa	410	18
Q84V39	Olea europaea	Plants	123	21
P11911	Mus musculus	Metazoa	220	28
P34170	Bombyx mori	Metazoa	160	20
Q61885	Mus musculus	Metazoa	246	28
O76076	Homo sapiens	Metazoa	250	23
Q6UXB2	Homo sapiens	Metazoa	119	21
P09655	Rattus norvegicus	Metazoa	79	18
P15570	Phytophthora cryptogea	Other	118	20
P00760	Bos taurus	Metazoa	246	17
P09486	Homo sapiens	Metazoa	303	17
P09230	Yarrowia lipolytica (strain CLIB 122 / E 150)	Fungi	454	15
P0DPZ2	Scolopendra dehaani	Metazoa	101	23
Q8L5J1	Solanum lycopersicum	Plants	399	26
Q03178	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	341	18
P14632	Sus scrofa	Metazoa	704	19
Q6UXG3	Homo sapiens	Metazoa	332	18
Q6UX39	Homo sapiens	Metazoa	209	16
P13205	Rattus norvegicus	Metazoa	121	26
Q09022	Xenopus laevis	Metazoa	84	18
O02853	Bos taurus	Metazoa	191	28
Q29411	Sus scrofa	Metazoa	383	21
P06911	Rattus norvegicus	Metazoa	188	19
Q62632	Rattus norvegicus	Metazoa	306	18
P50694	Prunus avium	Plants	245	23
P56829	Ovis aries	Metazoa	195	23
P35777	Solenopsis invicta	Metazoa	137	19
P25497	Pseudechis australis	Metazoa	83	21
Q9VH14	Drosophila melanogaster	Metazoa	210	27
O60609	Homo sapiens	Metazoa	400	31
P0DJD7	Homo sapiens	Metazoa	388	15
P29457	Rattus norvegicus	Metazoa	417	17
P16612	Rattus norvegicus	Metazoa	214	26
P43077	Candida albicans	Fungi	562	22
P15522	Camelus dromedarius	Metazoa	155	18
P0C292	Androctonus crassicauda	Metazoa	80	22
Q6YZY5	Oryza sativa subsp. japonica	Plants	224	22
P11069	Lumbricus terrestris	Metazoa	170	17
F1N2K1	Bos taurus	Metazoa	508	31
C0H9B6	Salmo salar	Metazoa	413	19
Q8NBP7	Homo sapiens	Metazoa	692	30
Q76FB0	Cyanidium caldarium	Other	155	20
Q9UAD0	Olivierus martensii	Metazoa	59	24
P02659	Gallus gallus	Metazoa	106	24
P12319	Homo sapiens	Metazoa	257	25
P58823	Phaseolus vulgaris	Plants	342	29
P04062	Homo sapiens	Metazoa	536	39
O80323	Pyrus pyrifolia	Plants	222	22
Q78CF9	Notechis ater	Metazoa	200	19
Q70DJ5	Arachis hypogaea	Plants	280	26
Q868Z9	Drosophila melanogaster	Metazoa	2898	26
P00736	Homo sapiens	Metazoa	705	17
P0CB51	Coccidioides posadasii (strain RMSCC 757 / Silveira)	Fungi	427	17
P07981	Hypocrea jecorina	Fungi	459	22
Q9N2D2	Callithrix jacchus	Metazoa	381	16
P18632	Cryptomeria japonica	Plants	374	21
Q6UWE3	Homo sapiens	Metazoa	100	21
F5CPD3	Micrurus altirostris	Metazoa	85	21
P10279	Bos taurus	Metazoa	264	24
Q8L5C6	Triticum aestivum	Plants	304	30
P35495	Sus scrofa	Metazoa	133	24
Q9R1T7	Rattus norvegicus	Metazoa	200	20
Q96TU3	Aspergillus awamori	Fungi	537	19
P33436	Rattus norvegicus	Metazoa	662	29
P19957	Homo sapiens	Metazoa	117	22
O00602	Homo sapiens	Metazoa	326	29
P00794	Bos taurus	Metazoa	381	16
Q9YGN4	Gloydius brevicauda	Metazoa	145	23
D3GDK4	Cryptopygus antarcticus	Metazoa	225	15
Q6UXK5	Homo sapiens	Metazoa	716	25
P56202	Homo sapiens	Metazoa	376	21
P01479	Androctonus australis	Metazoa	83	19
P52753	Cryphonectria parasitica	Fungi	118	22
P09923	Homo sapiens	Metazoa	528	19
P09462	Ovis aries	Metazoa	142	19
P82358	Acanthoscurria gomesiana	Metazoa	84	23
P00684	Rattus norvegicus	Metazoa	152	25
C0HL62	Drosophila melanogaster	Metazoa	104	18
Q23997	Drosophila melanogaster	Metazoa	452	18
P04639	Rattus norvegicus	Metazoa	259	18
A7L035	Chironex fleckeri	Metazoa	456	20
P19801	Homo sapiens	Metazoa	751	19
Q90WA1	Pseudonaja textilis textilis	Metazoa	83	24
P07359	Homo sapiens	Metazoa	652	16
Q86SD9	Androctonus amoreuxi	Metazoa	86	19
P49121	Agkistrodon contortrix laticinctus	Metazoa	137	16
P26006	Homo sapiens	Metazoa	1051	32
Q696W1	Macrovipera lebetinus	Metazoa	158	23
Q8MMG9	Pimpla hypochondriaca	Metazoa	585	32
P31226	Aquarana catesbeiana	Metazoa	844	19
A6XMY0	Hyas araneus	Metazoa	64	25
Q07831	Entamoeba histolytica	Other	97	20
Q5G8A6	Tityus costatus	Metazoa	87	19
P29701	Ovis aries	Metazoa	364	15
P18329	Dendroaspis angusticeps	Metazoa	80	21
A0A2I8B346	Paralithodes camtschaticus	Metazoa	62	23
Q8TD06	Homo sapiens	Metazoa	166	21
P86872	Margaritifera margaritifera	Metazoa	260	19
Q61001	Mus musculus	Metazoa	3718	40
A0A7M6UMR7	Apis mellifera	Metazoa	1010	16
P93543	Sambucus nigra	Plants	569	28
P24258	Chlamydomonas reinhardtii	Plants	380	20
Q8T0W2	Pimpla hypochondriaca	Metazoa	203	19
Q71DJ5	Arabidopsis thaliana	Plants	393	20
P01724	Mus musculus	Metazoa	129	19
P02774	Homo sapiens	Metazoa	474	16
P81761	Hottentotta tamulus	Metazoa	62	24
Q8MMH0	Pimpla hypochondriaca	Metazoa	109	21
P61769	Homo sapiens	Metazoa	119	20
O55232	Rattus norvegicus	Metazoa	130	32
P21919	Gadus morhua	Metazoa	235	26
P10631	Rattus norvegicus	Metazoa	98	28
O80327	Pyrus pyrifolia	Plants	244	22
P0DL37	Urodacus yaschenkoi	Metazoa	62	24
P13731	Gallus gallus	Metazoa	405	15
P25291	Canis lupus familiaris	Metazoa	509	21
F8QN53	Vipera renardi	Metazoa	137	16
P45663	Centruroides noxius	Metazoa	87	19
P02654	Homo sapiens	Metazoa	83	26
Q9NL38	Pinctada maxima	Metazoa	568	22
Q9NYY1	Homo sapiens	Metazoa	176	24
P02778	Homo sapiens	Metazoa	98	21
Q9BXI9	Homo sapiens	Metazoa	278	46
O04004	Ambrosia artemisiifolia	Plants	118	25
C0HK27	Dioclea lasiophylla	Plants	291	28
P29060	Nicotiana tabacum	Plants	291	22
P63152	Cavia porcellus	Metazoa	143	23
P32881	Homo sapiens	Metazoa	189	23
Q86IV5	Dictyostelium discoideum	Other	258	21
B4FZ87	Zea mays	Plants	396	31
P43307	Homo sapiens	Metazoa	286	18
P04667	Oncorhynchus keta	Metazoa	105	22
P17050	Homo sapiens	Metazoa	411	17
F5CPE4	Micrurus altirostris	Metazoa	83	21
P19134	Oryctolagus cuniculus	Metazoa	695	19
P80356	Avena sativa	Plants	220	19
P07998	Homo sapiens	Metazoa	156	28
Q9ZWA9	Arabidopsis thaliana	Plants	451	25
C0HL63	Drosophila melanogaster	Metazoa	104	18
P01347	Rattus norvegicus	Metazoa	186	22
P67930	Ovis aries	Metazoa	217	27
P02769	Bos taurus	Metazoa	607	18
P45452	Homo sapiens	Metazoa	471	19
P02739	Neovison vison	Metazoa	129	18
P04785	Rattus norvegicus	Metazoa	509	19
Q03405	Homo sapiens	Metazoa	335	22
P02740	Anas platyrhynchos	Metazoa	127	18
P22323	Cavia porcellus	Metazoa	410	24
Q2KJF1	Bos taurus	Metazoa	503	21
P36511	Rattus norvegicus	Metazoa	530	23
P01633	Mus musculus	Metazoa	149	29
Q8RVH5	Glycine max	Plants	433	24
P02782	Rattus norvegicus	Metazoa	111	23
P04430	Homo sapiens	Metazoa	117	22
P79263	Sus scrofa	Metazoa	921	27
P18892	Bos taurus	Metazoa	526	26
Q6IUU3	Rattus norvegicus	Metazoa	750	32
O42414	Gallus gallus	Metazoa	1369	25
Q16568	Homo sapiens	Metazoa	116	27
P12724	Homo sapiens	Metazoa	160	27
P31418	Manduca sexta	Metazoa	166	22
P17301	Homo sapiens	Metazoa	1181	29
Q9UK55	Homo sapiens	Metazoa	444	21
P02765	Homo sapiens	Metazoa	367	18
P07439	Megabalanus rosa	Metazoa	162	24
P26010	Homo sapiens	Metazoa	798	19
P04002	Pseudopleuronectes americanus	Metazoa	82	23
Q8WWA0	Homo sapiens	Metazoa	313	18
Q08334	Homo sapiens	Metazoa	325	19
P0C1X7	Tityus discrepans	Metazoa	83	20
P11151	Bos taurus	Metazoa	478	28
Q9Y258	Homo sapiens	Metazoa	94	23
P22952	Sus scrofa	Metazoa	117	36
P02883	Thaumatococcus daniellii	Plants	235	22
P62931	Pisum sativum	Plants	130	26
P30230	Raphanus sativus	Plants	80	29
I3LGZ3	Sus scrofa	Metazoa	81	24
O08523	Mus musculus	Metazoa	2155	24
C1IC49	Walterinnesia aegyptia	Metazoa	86	21
Q969H8	Homo sapiens	Metazoa	173	31
P50229	Rattus norvegicus	Metazoa	92	23
P86473	Actinidia chinensis var. chinensis	Plants	322	21
Q96BF3	Homo sapiens	Metazoa	282	22
O57385	Deinagkistrodon acutus	Metazoa	138	16
Q1HLC0	Lonomia obliqua	Metazoa	413	18
P25116	Homo sapiens	Metazoa	425	21
Q6T6T4	Bitis gabonica	Metazoa	140	26
P01364	Aplysia californica	Metazoa	108	23
P15226	Tityus serrulatus	Metazoa	84	20
Q8N441	Homo sapiens	Metazoa	504	24
P31809	Mus musculus	Metazoa	521	34
P60215	Tityus obscurus	Metazoa	86	20
P15156	Mesocricetus auratus	Metazoa	695	21
P35248	Rattus norvegicus	Metazoa	374	19
P04284	Solanum lycopersicum	Plants	159	24
A1X159	Perna viridis	Metazoa	431	20
Q9STQ3	Arabidopsis thaliana	Plants	59	27
Q2A783	Triticum aestivum	Plants	285	18
P0DQB8	Scolopendra dehaani	Metazoa	73	20
O93364	Crotalus adamanteus	Metazoa	516	18
Q91XZ2	Mus musculus	Metazoa	779	28
P08541	Rattus norvegicus	Metazoa	530	23
Q62598	Rattus norvegicus	Metazoa	687	17
P81511	Hirudo medicinalis	Metazoa	81	15
P80429	Salmo salar	Metazoa	691	18
P03950	Homo sapiens	Metazoa	147	24
Q3UN54	Mus musculus	Metazoa	99	21
P23083	Homo sapiens	Metazoa	117	19
Q99969	Homo sapiens	Metazoa	163	20
Q96BY9	Homo sapiens	Metazoa	339	30
P0DJD9	Homo sapiens	Metazoa	388	15
P13473	Homo sapiens	Metazoa	410	28
P83880	Pinus monticola	Plants	105	26
P05160	Homo sapiens	Metazoa	661	20
Q8MVA6	Ixodes scapularis	Metazoa	69	23
P02761	Rattus norvegicus	Metazoa	181	19
Q8NJ73	Pyricularia grisea	Fungi	380	21
P29241	Aplysia californica	Metazoa	282	24
E2DQZ5	Protobothrops jerdonii	Metazoa	148	23
O15197	Homo sapiens	Metazoa	1021	31
Q96S96	Homo sapiens	Metazoa	227	22
Q64HC7	Armadillidium vulgare	Metazoa	73	19
Q05443	Bos taurus	Metazoa	342	18
Q8WP90	Solenopsis invicta	Metazoa	153	19
P22864	Aspergillus niger	Fungi	373	19
Q8S2W4	Arabidopsis thaliana	Plants	61	22
Q71QE8	Crotalus viridis viridis	Metazoa	138	16
Q949Y3	Arabidopsis thaliana	Plants	475	30
P34746	Oreochromis mossambicus	Metazoa	204	17
Q9LRC8	Scutellaria baicalensis	Plants	527	25
P19069	Cavia porcellus	Metazoa	1742	19
E7BLC7	Androctonus crassicauda	Metazoa	84	17
P42813	Arabidopsis thaliana	Plants	230	22
P85840	Tityus serrulatus	Metazoa	416	24
Q969N2	Homo sapiens	Metazoa	578	21
P29288	Rattus norvegicus	Metazoa	327	22
Q55U20	Cryptococcus neoformans var. neoformans serotype D (strain B-3501A)	Fungi	458	51
P16611	Sus scrofa	Metazoa	293	27
Q8WPJ2	Mytilus edulis	Metazoa	367	17
Q27083	Tachypleus tridentatus	Metazoa	309	31
Q05359	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	219	22
Q6X4U4	Homo sapiens	Metazoa	206	23
P0C8G7	Pomacea canaliculata	Metazoa	286	30
P03998	Limulus polyphemus	Metazoa	195	20
Q86WA6	Homo sapiens	Metazoa	291	37
P15589	Rattus norvegicus	Metazoa	577	19
P59665	Homo sapiens	Metazoa	94	19
P0DUS8	Doratifera vulnerans	Metazoa	59	17
Q40772	Phytolacca americana	Plants	310	25
P02751	Homo sapiens	Metazoa	2477	31
Q96AP7	Homo sapiens	Metazoa	390	29
Q9BJX2	Olivierus martensii	Metazoa	54	23
P41547	Canis lupus familiaris	Metazoa	130	25
C0HL83	Stellaria media	Plants	81	31
O59896	Pycnoporus cinnabarinus	Fungi	518	21
Q9NSA1	Homo sapiens	Metazoa	209	28
Q9PWI4	Elaphe quadrivirgata	Metazoa	202	19
Q94637	Oscheius tipulae	Metazoa	1648	15
Q9DEA2	Deinagkistrodon acutus	Metazoa	155	23
P83869	Drosophila melanogaster	Metazoa	46	22
P29459	Homo sapiens	Metazoa	219	22
C0HJQ8	Mesobuthus eupeus	Metazoa	58	21
P19883	Homo sapiens	Metazoa	344	29
Q75WF2	Acanthaster planci	Metazoa	358	26
Q09131	Glycine max	Plants	464	30
Q63345	Rattus norvegicus	Metazoa	245	27
P02771	Homo sapiens	Metazoa	609	18
Q7SCE9	Neurospora crassa (strain ATCC 24698 / 74-OR23-1A / CBS 708.71 / DSM 1257 / FGSC 987)	Fungi	385	18
Q9Z0M9	Mus musculus	Metazoa	193	28
P32802	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	667	22
P29794	Canis lupus familiaris	Metazoa	180	20
P29029	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	562	20
C0HL82	Stellaria media	Plants	81	31
P00996	Bos taurus	Metazoa	79	23
P14384	Homo sapiens	Metazoa	443	17
P05305	Homo sapiens	Metazoa	212	17
P01148	Homo sapiens	Metazoa	92	23
P06865	Homo sapiens	Metazoa	529	22
P80188	Homo sapiens	Metazoa	198	20
Q6XE38	Homo sapiens	Metazoa	83	21
Q9U8W8	Tachypleus tridentatus	Metazoa	292	23
P01567	Homo sapiens	Metazoa	189	23
Q03044	Didelphis virginiana	Metazoa	410	21
A8E2V8	Trimeresurus gracilis	Metazoa	139	16
P07477	Homo sapiens	Metazoa	247	15
P05113	Homo sapiens	Metazoa	134	19
P67875	Aspergillus fumigatus (strain ATCC MYA-4609 / CBS 101355 / FGSC A1100 / Af293)	Fungi	176	27
P01183	Sus scrofa	Metazoa	166	19
Q7ZT99	Crotalus atrox	Metazoa	240	19
Q09332	Drosophila melanogaster	Metazoa	1548	22
A0A3N2PQC3	Sodiomyces alkalinus (strain CBS 110278 / VKM F-3762 / F11)	Fungi	99	26
P00738	Homo sapiens	Metazoa	406	18
C0HL38	Trichonephila clavata	Metazoa	60	19
P21741	Homo sapiens	Metazoa	143	20
W5XDM0	Macrovipera lebetinus	Metazoa	152	23
P20507	Chlamydomonas reinhardtii	Plants	377	20
P82144	Gloydius brevicaudus siniticus	Metazoa	200	19
P31515	Xenopus laevis	Metazoa	341	29
Q9Y2I2	Homo sapiens	Metazoa	539	28
P15478	Solanum tuberosum	Plants	386	23
P35334	Phaseolus vulgaris	Plants	342	29
Q8BHP7	Mus musculus	Metazoa	681	32
O73856	Naja sputatrix	Metazoa	81	21
P00702	Phasianus colchicus colchicus	Metazoa	147	17
Q91Z98	Mus musculus	Metazoa	402	21
P08514	Homo sapiens	Metazoa	1039	31
P01224	Sus scrofa	Metazoa	138	20
P06207	Limulus polyphemus	Metazoa	242	24
Q5NAT0	Oryza sativa subsp. japonica	Plants	640	34
C0HJZ1	Arachis hypogaea	Plants	72	25
P51868	Rattus norvegicus	Metazoa	413	19
Q07325	Homo sapiens	Metazoa	125	22
Q08127	Anguilla anguilla	Metazoa	147	20
Q963A9	Aedes albopictus	Metazoa	60	24
P18181	Mus musculus	Metazoa	240	22
Q8H6Q1	Petunia hybrida	Plants	103	25
P07237	Homo sapiens	Metazoa	508	17
O09165	Mus musculus	Metazoa	405	34
B0XRV0	Aspergillus fumigatus (strain CBS 144.89 / FGSC A1163 / CEA10)	Fungi	721	18
A8CG89	Daboia russelii	Metazoa	138	16
Q2YHJ7	Craspedocephalus puniceus	Metazoa	138	16
P01323	Rattus norvegicus	Metazoa	110	24
P02810	Homo sapiens	Metazoa	166	16
Q9SU40	Arabidopsis thaliana	Plants	587	20
P08603	Homo sapiens	Metazoa	1231	18
P01037	Homo sapiens	Metazoa	141	20
A0A4P9I8G4	Waitea arvalis	Fungi	238	20
A0A0A1I6N9	Androctonus crassicauda	Metazoa	74	22
P00995	Homo sapiens	Metazoa	79	23
P00748	Homo sapiens	Metazoa	615	19
P16094	Momordica charantia	Plants	286	23
Q2PWA3	Protobothrops mucrosquamatus	Metazoa	138	16
P14133	Cucumis sativus	Plants	587	33
P04003	Homo sapiens	Metazoa	597	48
B2NHN2	Talaromyces funiculosus	Fungi	339	20
Q62005	Mus musculus	Metazoa	623	20
P01634	Mus musculus	Metazoa	136	29
B3STN7	Nosema bombycis (strain CQ1 / CVCC 102059)	Fungi	316	18
P14562	Rattus norvegicus	Metazoa	407	21
C0HKR1	Agrotis ipsilon	Metazoa	73	20
P14214	Tachypleus tridentatus	Metazoa	77	23
Q91XZ4	Mus musculus	Metazoa	772	28
Q9Y4X3	Homo sapiens	Metazoa	112	24
Q90W54	Gloydius blomhoffii	Metazoa	504	18
O00175	Homo sapiens	Metazoa	119	26
Q70LM3	Phlebia radiata	Fungi	390	23
Q1ZY03	Deinagkistrodon acutus	Metazoa	138	16
P00989	Bungarus multicinctus	Metazoa	85	24
P11839	Ovis aries	Metazoa	222	15
Q9UBT3	Homo sapiens	Metazoa	224	18
Q25055	Holotrichia diomphalia	Metazoa	104	20
A8QL52	Bungarus fasciatus	Metazoa	517	19
P35501	Myzus persicae	Metazoa	552	23
G5EC68	Caenorhabditis elegans	Metazoa	85	17
P05067	Homo sapiens	Metazoa	770	17
Q9UBN6	Homo sapiens	Metazoa	386	55
P26730	Bombyx mori	Metazoa	92	19
O88917	Rattus norvegicus	Metazoa	1515	24
P0DPV5	Scolopendra dehaani	Metazoa	76	23
P02647	Homo sapiens	Metazoa	267	18
Q1HAY7	Holotrichia diomphalia	Metazoa	317	23
P15018	Homo sapiens	Metazoa	202	22
P07602	Homo sapiens	Metazoa	524	16
Q08738	Bombyx mori	Metazoa	239	16
P20933	Homo sapiens	Metazoa	346	23
P01033	Homo sapiens	Metazoa	207	23
P16404	Erythrina corallodendron	Plants	281	26
Q2YHJ8	Craspedocephalus puniceus	Metazoa	138	16
Q9Y5C1	Homo sapiens	Metazoa	460	16
Q26377	Drosophila melanogaster	Metazoa	154	19
Q9NII5	Olivierus martensii	Metazoa	58	21
P14211	Mus musculus	Metazoa	416	17
Q6UX46	Homo sapiens	Metazoa	152	24
P83519	Bothrops jararacussu	Metazoa	159	24
Q9UN67	Homo sapiens	Metazoa	800	26
Q6UW01	Homo sapiens	Metazoa	205	32
O97763	Sus scrofa	Metazoa	149	19
Q8MP00	Aedes aegypti	Metazoa	90	27
Q63180	Rattus norvegicus	Metazoa	789	25
P35572	Rattus norvegicus	Metazoa	226	25
P48307	Homo sapiens	Metazoa	235	22
W0HJ53	Rhizopus oryzae	Fungi	216	27
Q8JIY9	Protobothrops jerdonii	Metazoa	138	16
Q875I9	Aspergillus fumigatus	Fungi	238	17
P19400	Ascaris suum	Metazoa	169	20
P01491	Centruroides sculpturatus	Metazoa	86	19
P41271	Homo sapiens	Metazoa	181	16
Q9VB68	Drosophila melanogaster	Metazoa	377	26
P17813	Homo sapiens	Metazoa	658	25
P81417	Aedes albopictus	Metazoa	59	23
Q6GU94	Centruroides limpidus	Metazoa	56	24
Q6UWY2	Homo sapiens	Metazoa	283	31
P01768	Homo sapiens	Metazoa	117	19
P08582	Homo sapiens	Metazoa	738	19
Q9JI59	Mus musculus	Metazoa	298	28
P15497	Bos taurus	Metazoa	265	18
P09954	Sus scrofa	Metazoa	419	16
P82114	Bothrops moojeni	Metazoa	138	16
P01165	Sus scrofa	Metazoa	207	22
A1IKL2	Anisakis simplex	Metazoa	152	18
P80311	Bos taurus	Metazoa	216	33
P01019	Homo sapiens	Metazoa	476	24
P12069	Sus scrofa	Metazoa	148	18
Q6UXD5	Homo sapiens	Metazoa	910	27
P20241	Drosophila melanogaster	Metazoa	1302	23
P56637	Hottentotta judaicus	Metazoa	94	18
G1CWH6	Clitoria ternatea	Plants	122	25
Q9PWI3	Elaphe quadrivirgata	Metazoa	200	19
P16035	Homo sapiens	Metazoa	220	26
P28665	Mus musculus	Metazoa	1476	27
Q26427	Galleria mellonella	Metazoa	267	16
P00701	Coturnix japonica	Metazoa	147	18
P06306	Felis catus	Metazoa	110	24
P61855	Drosophila melanogaster	Metazoa	79	22
P01911	Homo sapiens	Metazoa	266	29
Q8MI01	Bos taurus	Metazoa	330	23
Q9QXX3	Mus musculus	Metazoa	151	17
B3F051	Lens culinaris subsp. culinaris	Plants	74	27
P11407	Vipera ammodytes ammodytes	Metazoa	138	16
P07727	Rattus norvegicus	Metazoa	457	28
P10720	Homo sapiens	Metazoa	104	30
P83886	Allium sativum	Plants	181	30
P01729	Mus musculus	Metazoa	129	19
P20774	Homo sapiens	Metazoa	298	20
P01619	Homo sapiens	Metazoa	116	20
Q6UWL6	Homo sapiens	Metazoa	708	20
P00797	Homo sapiens	Metazoa	406	23
Q7T2I5	Laticauda semifasciata	Metazoa	83	21
Q14392	Homo sapiens	Metazoa	662	19
P30659	Lutzomyia longipalpis	Metazoa	86	23
P14555	Homo sapiens	Metazoa	144	20
P01070	Glycine max	Plants	216	24
A7VN14	Protobothrops flavoviridis	Metazoa	109	19
P04148	Bombyx mori	Metazoa	220	16
P09989	Trichosanthes kirilowii	Plants	289	23
Q8JGT6	Protobothrops mucrosquamatus	Metazoa	146	23
Q0GY40	Hoffmannihadrurus gertschi	Metazoa	95	19
Q30154	Homo sapiens	Metazoa	266	29
P10976	Spinacia oleracea	Plants	117	26
Q6UXB1	Homo sapiens	Metazoa	125	24
P02753	Homo sapiens	Metazoa	201	18
P0DUT0	Doratifera vulnerans	Metazoa	46	19
Q14112	Homo sapiens	Metazoa	1375	30
P01704	Homo sapiens	Metazoa	120	19
P03954	Macaca fuscata fuscata	Metazoa	388	15
P33487	Arabidopsis thaliana	Plants	198	33
Q60557	Mesocricetus auratus	Metazoa	671	21
P00626	Vipera ammodytes ammodytes	Metazoa	138	16
P30101	Homo sapiens	Metazoa	505	24
P01228	Sus scrofa	Metazoa	129	20
O00100	Aspergillus terreus	Fungi	466	19
P48096	Salmo salar	Metazoa	210	23
Q42502	Solanum tuberosum	Plants	386	23
Q27082	Tachypleus tridentatus	Metazoa	673	19
P01325	Mus musculus	Metazoa	108	24
P43652	Homo sapiens	Metazoa	599	21
P01011	Homo sapiens	Metazoa	423	23
B2KNH9	Dendrobium findlayanum	Plants	167	24
P02763	Homo sapiens	Metazoa	201	18
P31347	Oryctolagus cuniculus	Metazoa	149	24
Q6T6T5	Bitis gabonica	Metazoa	90	24
Q01172	Aspergillus niger	Fungi	379	20
Q6EH50	Phytolacca heterotepala	Plants	312	22
Q800C4	Crotalus viridis viridis	Metazoa	138	16
Q99435	Homo sapiens	Metazoa	816	21
