accession	organism	kingdom	length	sp_cleavage_site	label	tm_helix_start_leq_90	fold
P01228	Sus scrofa	Metazoa	129	20.0	1		2
P48096	Salmo salar	Metazoa	210	23.0	1		2
P43652	Homo sapiens	Metazoa	599	21.0	1		2
P01011	Homo sapiens	Metazoa	423	23.0	1		2
P31347	Oryctolagus cuniculus	Metazoa	149	24.0	1		2
P19111	Bos taurus	Metazoa	533	19.0	1		2
Q03472	Sus scrofa	Metazoa	202	28.0	1		2
Q8HYA9	Sus scrofa	Metazoa	185	20.0	1		2
Q9C9G4	Arabidopsis thaliana	Plants	290	27.0	1		2
P97535	Rattus norvegicus	Metazoa	456	24.0	1		2
Q41015	Pisum sativum	Plants	217	26.0	1		2
P82103	Mytilus galloprovincialis	Metazoa	96	20.0	1		2
P20656	Saponaria officinalis	Plants	299	24.0	1		2
C9X4K4	Tityus discrepans	Metazoa	82	20.0	1		2
Q8MMJ7	Opisthacanthus madagascariensis	Metazoa	68	23.0	1		2
Q53B59	Ophiophagus hannah	Metazoa	91	21.0	1		2
Q9TSN6	Bubalus bubalis	Metazoa	142	18.0	1		2
Q9XSW3	Sus scrofa	Metazoa	240	18.0	1		2
P19204	Gallus gallus	Metazoa	406	19.0	1		2
P07897	Rattus norvegicus	Metazoa	2124	19.0	1		2
P84527	Actinidia deliciosa	Plants	213	24.0	1		2
P01661	Mus musculus	Metazoa	131	20.0	1		2
Q9NR61	Homo sapiens	Metazoa	685	26.0	1		2
Q9XFS7	Arabidopsis thaliana	Plants	118	25.0	1		2
Q6UWY5	Homo sapiens	Metazoa	402	28.0	1		2
P01593	Homo sapiens	Metazoa	117	22.0	1		2
Q9YGN5	Gloydius brevicauda	Metazoa	154	23.0	1		2
Q15848	Homo sapiens	Metazoa	244	18.0	1		2
P08697	Homo sapiens	Metazoa	491	27.0	1		2
P12992	Heliothis virescens	Metazoa	564	19.0	1		2
P0DKU2	Pandinus imperator	Metazoa	145	15.0	1		2
P0DML3	Homo sapiens	Metazoa	217	26.0	1		2
P12706	Xenopus laevis	Metazoa	106	23.0	1		2
P56526	Aspergillus niger	Fungi	985	25.0	1		2
P10959	Rattus norvegicus	Metazoa	549	18.0	1		2
O02826	Sus scrofa	Metazoa	111	20.0	1		2
O70280	Rattus norvegicus	Metazoa	212	26.0	1		2
P0C293	Androctonus crassicauda	Metazoa	80	22.0	1		2
A1XRN2	Metlapilcoatlus nummifer	Metazoa	166	19.0	1		2
Q41638	Phaseolus angularis	Plants	292	20.0	1		2
P01215	Homo sapiens	Metazoa	116	24.0	1		2
P33093	Macaca mulatta	Metazoa	217	26.0	1		2
P13671	Homo sapiens	Metazoa	934	21.0	1		2
Q6UWI2	Homo sapiens	Metazoa	310	20.0	1		2
P69130	Oncorhynchus keta	Metazoa	211	23.0	1		2
P39039	Mus musculus	Metazoa	239	18.0	1		2
P53634	Homo sapiens	Metazoa	463	24.0	1		2
O64411	Zea mays	Plants	500	28.0	1		2
Q5JNJ5	Oryza sativa subsp. japonica	Plants	237	28.0	1		2
P07808	Rattus norvegicus	Metazoa	98	29.0	1		2
P10152	Bos taurus	Metazoa	148	23.0	1		2
P17715	Octodon degus	Metazoa	109	24.0	1		2
F1AWB0	Vaejovis mexicanus	Metazoa	82	22.0	1		2
P84777	Tityus discrepans	Metazoa	61	23.0	1		2
P09871	Homo sapiens	Metazoa	688	15.0	1		2
P25311	Homo sapiens	Metazoa	298	20.0	1		2
P28825	Mus musculus	Metazoa	747	20.0	1		2
P01180	Bos taurus	Metazoa	166	19.0	1		2
Q84UV8	Nicotiana langsdorffii x Nicotiana sanderae	Plants	274	25.0	1		2
P26732	Bombyx mori	Metazoa	92	19.0	1		2
P97515	Meriones unguiculatus	Metazoa	348	18.0	1		2
P02790	Homo sapiens	Metazoa	462	23.0	1		2
Q8GT41	Platanus acerifolia	Plants	179	23.0	1		2
P35916	Homo sapiens	Metazoa	1363	24.0	1		2
Q8UVZ7	Crotalus atrox	Metazoa	137	16.0	1		2
P01493	Centruroides sculpturatus	Metazoa	87	19.0	1		2
P26202	Oryctolagus cuniculus	Metazoa	137	20.0	1		2
P26729	Bombyx mori	Metazoa	92	19.0	1		2
Q7Q7R8	Anopheles gambiae	Metazoa	89	29.0	1		2
P25289	Lymnaea stagnalis	Metazoa	137	31.0	1		2
P14209	Homo sapiens	Metazoa	185	22.0	1		2
P86798	Cupiennius salei	Metazoa	140	19.0	1		2
P01831	Mus musculus	Metazoa	162	19.0	1		2
P01443	Naja atra	Metazoa	81	21.0	1		2
P20826	Mus musculus	Metazoa	273	25.0	1		2
Q9ZT66	Zea mays	Plants	303	43.0	1		2
P11218	Urtica dioica	Plants	372	23.0	1		2
P17572	Meleagris gallopavo	Metazoa	229	30.0	1		2
C6JUN9	Micrurus corallinus	Metazoa	158	23.0	1		2
P02789	Gallus gallus	Metazoa	705	19.0	1		2
P04058	Tetronarce californica	Metazoa	586	21.0	1		2
P84810	Buthus occitanus tunetanus	Metazoa	91	22.0	1		2
A0A023W145	Ethmostigmus rubripes	Metazoa	88	24.0	1		2
P16225	Sus scrofa	Metazoa	187	21.0	1		2
Q5WPU9	Lutzomyia longipalpis	Metazoa	399	18.0	1		2
P19320	Homo sapiens	Metazoa	739	24.0	1		2
P25068	Bos taurus	Metazoa	64	26.0	1		2
P00655	Aspergillus giganteus	Fungi	177	27.0	1		2
P56722	Bos taurus	Metazoa	979	34.0	1		2
Q8T9R8	Stomoxys calcitrans	Metazoa	67	24.0	1		2
O60449	Homo sapiens	Metazoa	1722	27.0	1		2
P16382	Mus musculus	Metazoa	810	25.0	1		2
Q96PD4	Homo sapiens	Metazoa	163	30.0	1		2
Q9SLP4	Tulipa saxatilis subsp. bakeri	Plants	314	26.0	1		2
O09049	Mus musculus	Metazoa	174	26.0	1		2
P16030	Bauhinia purpurea	Plants	290	28.0	1		2
M1MR49	Rhipicephalus appendiculatus	Metazoa	176	24.0	1		2
P81295	Juniperus ashei	Plants	225	26.0	1		2
P80426	Salmo salar	Metazoa	690	18.0	1		2
Q16927	Aedes aegypti	Metazoa	2169	46.0	1		2
P05155	Homo sapiens	Metazoa	500	22.0	1		2
P06276	Homo sapiens	Metazoa	602	28.0	1		2
F2QXM5	Komagataella phaffii (strain ATCC 76273 / CBS 7435 / CECT 11047 / NRRL Y-11430 / Wegner 21-1)	Fungi	587	19.0	1		2
P83632	Galleria mellonella	Metazoa	236	17.0	1		2
Q10588	Homo sapiens	Metazoa	318	32.0	1		2
P45628	Leiurus hebraeus	Metazoa	59	22.0	1		2
P02701	Gallus gallus	Metazoa	152	24.0	1		2
P37042	Gallus gallus	Metazoa	92	23.0	1		2
Q56EB1	Bothrops jararaca	Metazoa	155	23.0	1		2
Q02862	Mus musculus	Metazoa	184	15.0	1		2
Q5FWE3	Homo sapiens	Metazoa	981	27.0	1		2
P48765	Bos taurus	Metazoa	970	32.0	1		2
Q9Y624	Homo sapiens	Metazoa	299	27.0	1		2
P12318	Homo sapiens	Metazoa	317	33.0	1		2
Q9NJ98	Manduca sexta	Metazoa	487	19.0	1		2
P21754	Homo sapiens	Metazoa	424	22.0	1		2
Q86LE5	Rhipicephalus microplus	Metazoa	110	20.0	1		2
P15358	Haementeria officinalis	Metazoa	136	17.0	1		2
P02649	Homo sapiens	Metazoa	317	18.0	1		2
Q27270	Tenebrio molitor	Metazoa	96	18.0	1		2
Q8JFE6	Bombina maxima	Metazoa	96	19.0	1		2
Q60GF7	Rattus norvegicus	Metazoa	252	22.0	1		2
P01185	Homo sapiens	Metazoa	164	19.0	1		2
Q96HF1	Homo sapiens	Metazoa	295	24.0	1		2
Q63415	Rattus norvegicus	Metazoa	937	45.0	1		2
O75629	Homo sapiens	Metazoa	220	31.0	1		2
P06205	Limulus polyphemus	Metazoa	242	24.0	1		2
P48740	Homo sapiens	Metazoa	699	19.0	1		2
P28039	Homo sapiens	Metazoa	575	23.0	1		2
Q9U8D2	Olivierus martensii	Metazoa	57	28.0	1		2
B5LZ79	Gymnadenia conopsea	Plants	75	30.0	1		2
Q6IY74	Oryctolagus cuniculus	Metazoa	141	18.0	1		2
Q01965	Mus musculus	Metazoa	654	47.0	1		2
P85213	Galleria mellonella	Metazoa	72	29.0	1		2
Q9BZM5	Homo sapiens	Metazoa	246	25.0	1		2
P20112	Sus scrofa	Metazoa	300	17.0	1		2
P04196	Homo sapiens	Metazoa	525	18.0	1		2
P60213	Tityus obscurus	Metazoa	86	20.0	1		2
P19121	Gallus gallus	Metazoa	615	18.0	1		2
P08796	Dictyostelium discoideum	Other	514	19.0	1		2
P10975	Ricinus communis	Plants	116	24.0	1		2
A1BQQ5	Conus marmoreus	Metazoa	289	24.0	1		2
P10761	Mus musculus	Metazoa	424	22.0	1		2
P37889	Mus musculus	Metazoa	1221	26.0	1		2
P26216	Zea mays	Plants	410	22.0	1		2
P30922	Bos taurus	Metazoa	383	21.0	1		2
B2KTG1	Bungarus fasciatus	Metazoa	83	24.0	1		2
P36980	Homo sapiens	Metazoa	270	18.0	1		2
P45662	Centruroides noxius	Metazoa	87	19.0	1		2
P10855	Mus musculus	Metazoa	92	23.0	1		2
Q04672	Glycine max	Plants	524	29.0	1		2
P54900	Rattus norvegicus	Metazoa	215	29.0	1		2
P15270	Dictyostelium discoideum	Other	424	23.0	1		2
P05154	Homo sapiens	Metazoa	406	19.0	1		2
P0DPU3	Scolopendra dehaani	Metazoa	577	25.0	1		2
O75596	Homo sapiens	Metazoa	197	22.0	1		2
P02787	Homo sapiens	Metazoa	698	19.0	1		2
O43291	Homo sapiens	Metazoa	252	27.0	1		2
Q9ZT16	Arabidopsis thaliana	Plants	135	21.0	1		2
P08379	Locusta migratoria	Metazoa	61	22.0	1		2
Q06575	Tamias sibiricus	Metazoa	196	23.0	1		2
P04278	Homo sapiens	Metazoa	402	29.0	1		2
Q99MG7	Mesocricetus auratus	Metazoa	172	16.0	1		2
Q76IQ4	Oncorhynchus mykiss	Metazoa	111	26.0	1		2
Q95JC9	Sus scrofa	Metazoa	676	16.0	1		2
P23028	Pseudonaja textilis	Metazoa	152	19.0	1		2
P79073	Hypocrea jecorina	Fungi	86	15.0	1		2
C1IC47	Walterinnesia aegyptia	Metazoa	83	21.0	1		2
P46162	Bos taurus	Metazoa	63	22.0	1		2
Q27441	Aplysia californica	Metazoa	92	21.0	1		2
P04844	Homo sapiens	Metazoa	631	22.0	1		2
P15703	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	313	23.0	1		2
P02224	Chironomus thummi thummi	Metazoa	162	15.0	1		2
P13806	Oryctolagus cuniculus	Metazoa	1106	26.0	1		2
Q13651	Homo sapiens	Metazoa	578	21.0	1		2
P14210	Homo sapiens	Metazoa	728	31.0	1		2
Q10NX8	Oryza sativa subsp. japonica	Plants	858	30.0	1		2
P08125	Gallus gallus	Metazoa	674	18.0	1		2
P10645	Homo sapiens	Metazoa	457	18.0	1		2
Q9Y5H9	Homo sapiens	Metazoa	948	22.0	1		2
Q98967	Oncorhynchus keta	Metazoa	130	19.0	1		2
P60771	Naja kaouthia	Metazoa	83	21.0	1		2
P12387	Cavia porcellus	Metazoa	1666	22.0	1		2
P81418	Phytolacca americana	Plants	65	27.0	1		2
Q43767	Hordeum vulgare	Plants	115	25.0	1		2
P10082	Homo sapiens	Metazoa	97	28.0	1		2
P16368	Bos taurus	Metazoa	220	26.0	1		2
P02652	Homo sapiens	Metazoa	100	18.0	1		2
P80284	Hordeum vulgare	Plants	513	25.0	1		2
P08176	Dermatophagoides pteronyssinus	Metazoa	320	18.0	1		2
P54803	Homo sapiens	Metazoa	685	42.0	1		2
Q9M0S4	Arabidopsis thaliana	Plants	127	21.0	1		2
P0DQE1	Scolopendra dehaani	Metazoa	109	23.0	1		2
P14213	Tachypleus tridentatus	Metazoa	77	23.0	1		2
Q6YDN9	Brassica oleracea var. botrytis	Plants	295	23.0	1		2
Q28388	Equus caballus	Metazoa	180	18.0	1		2
A8Y7P1	Daboia siamensis	Metazoa	84	24.0	1		2
P33183	Sambucus nigra	Plants	563	25.0	1		2
A3RJ36	Bubalus bubalis	Metazoa	64	24.0	1		2
P0DKL3	Maackia amurensis	Plants	287	29.0	1		2
P18709	Xenopus laevis	Metazoa	1807	15.0	1		2
Q6UWV2	Homo sapiens	Metazoa	235	31.0	1		2
P17936	Homo sapiens	Metazoa	291	27.0	1		2
G1CWH5	Clitoria ternatea	Plants	130	25.0	1		2
P00773	Rattus norvegicus	Metazoa	266	16.0	1		2
B6RLX2	Ophiophagus hannah	Metazoa	83	25.0	1		2
P86407	Mesobuthus eupeus	Metazoa	75	22.0	1		2
P45696	Androctonus australis	Metazoa	59	22.0	1		2
Q8W257	Ptilota filicina	Other	500	21.0	1		2
P53543	Clarias gariepinus	Metazoa	138	21.0	1		2
P84805	Naja kaouthia	Metazoa	239	18.0	1		2
P20362	Paralichthys olivaceus	Metazoa	231	24.0	1		2
P26894	Sus scrofa	Metazoa	103	25.0	1		2
P81264	Bos taurus	Metazoa	98	22.0	1		2
P01008	Homo sapiens	Metazoa	464	32.0	1		2
P81019	Bos taurus	Metazoa	183	25.0	1		2
O93233	Gloydius brevicaudus siniticus	Metazoa	331	23.0	1		2
P85261	Actinidia chinensis var. chinensis	Plants	213	24.0	1		2
Q805A2	Protobothrops flavoviridis	Metazoa	138	16.0	1		2
Q5EPH2	Rhipicephalus bursa	Metazoa	97	22.0	1		2
P35355	Rattus norvegicus	Metazoa	604	17.0	1		2
P17213	Homo sapiens	Metazoa	487	31.0	1		2
P01379	Laticauda semifasciata	Metazoa	87	21.0	1		2
P47853	Rattus norvegicus	Metazoa	369	16.0	1		2
P05014	Homo sapiens	Metazoa	189	23.0	1		2
Q8MTX2	Opisthacanthus madagascariensis	Metazoa	71	23.0	1		2
P28319	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	239	20.0	1		2
Q6H3D6	Trimeresurus stejnegeri	Metazoa	137	16.0	1		2
P49278	Dermatophagoides pteronyssinus	Metazoa	146	17.0	1		2
P26780	Sinapis alba	Plants	99	30.0	1		2
P42264	Rattus norvegicus	Metazoa	919	31.0	1		2
P13686	Homo sapiens	Metazoa	325	21.0	1		2
P48819	Sus scrofa	Metazoa	459	19.0	1		2
Q02942	Blaberus discoidalis	Metazoa	726	16.0	1		2
P19034	Bos taurus	Metazoa	101	22.0	1		2
Q9N4D8	Caenorhabditis elegans	Metazoa	123	17.0	1		2
Q6UW10	Homo sapiens	Metazoa	78	19.0	1		2
P13691	Hordeum vulgare	Plants	152	30.0	1		2
P16636	Rattus norvegicus	Metazoa	411	21.0	1		2
Q62867	Rattus norvegicus	Metazoa	317	24.0	1		2
P47710	Homo sapiens	Metazoa	185	15.0	1		2
P01718	Homo sapiens	Metazoa	113	20.0	1		2
Q25255	Lucilia cuprina	Metazoa	356	23.0	1		2
P10745	Homo sapiens	Metazoa	1247	17.0	1		2
D0UGJ0	Bothrops pauloensis	Metazoa	139	16.0	1		2
P60153	Homo sapiens	Metazoa	205	26.0	1		2
E9NX73	Fagopyrum tataricum	Plants	149	22.0	1		2
Q9U943	Locusta migratoria	Metazoa	3380	21.0	1		2
Q8MMH3	Pimpla hypochondriaca	Metazoa	488	19.0	1		2
Q4WBS1	Aspergillus fumigatus (strain ATCC MYA-4609 / CBS 101355 / FGSC A1100 / Af293)	Fungi	438	17.0	1		2
Q2ULM2	Aspergillus oryzae (strain ATCC 42149 / RIB 40)	Fungi	496	16.0	1		2
P80098	Homo sapiens	Metazoa	99	23.0	1		2
P10646	Homo sapiens	Metazoa	304	28.0	1		2
P98140	Bos taurus	Metazoa	612	19.0	1		2
Q26643	Sarcophaga peregrina	Metazoa	629	21.0	1		2
P01579	Homo sapiens	Metazoa	166	23.0	1		2
P01700	Homo sapiens	Metazoa	117	19.0	1		2
F8QN54	Vipera renardi	Metazoa	138	16.0	1		2
Q30HU9	Crassostrea virginica	Metazoa	90	19.0	1		2
P60266	Centruroides suffusus	Metazoa	87	19.0	1		2
P23284	Homo sapiens	Metazoa	216	33.0	1		2
Q9UHD0	Homo sapiens	Metazoa	177	24.0	1		2
Q06577	Tamias sibiricus	Metazoa	215	30.0	1		2
P02679	Homo sapiens	Metazoa	453	26.0	1		2
F7J1C8	Flammulina velutipes	Fungi	249	21.0	1		2
P01068	Ananas comosus	Plants	246	19.0	1		2
Q9N2I2	Bos taurus	Metazoa	404	19.0	1		2
P26652	Gallus gallus	Metazoa	212	24.0	1		2
I7JUQ0	Bitis rhinoceros	Metazoa	156	23.0	1		2
P07994	Bos taurus	Metazoa	360	17.0	1		2
P04653	Ovis aries	Metazoa	214	15.0	1		2
J7H670	Lachesis muta	Metazoa	516	18.0	1		2
P02767	Rattus norvegicus	Metazoa	147	20.0	1		2
E6Y8S8	Apium graveolens	Plants	118	27.0	1		2
P82662	Ophiophagus hannah	Metazoa	91	21.0	1		2
P07456	Bos taurus	Metazoa	179	24.0	1		2
Q59XX2	Candida albicans (strain SC5314 / ATCC MYA-2876)	Fungi	378	32.0	1		2
P19667	Molineria latifolia	Plants	158	22.0	1		2
Q7T045	Macrovipera lebetinus	Metazoa	146	23.0	1		2
P07634	Sus scrofa	Metazoa	131	25.0	1		2
P31429	Oryctolagus cuniculus	Metazoa	410	16.0	1		2
F1NSM7	Gallus gallus	Metazoa	743	18.0	1		2
P28325	Homo sapiens	Metazoa	142	20.0	1		2
P22063	Rattus norvegicus	Metazoa	1040	30.0	1		2
P00991	Vipera ammodytes ammodytes	Metazoa	90	24.0	1		2
Q02763	Homo sapiens	Metazoa	1124	22.0	1		2
P83673	Crassostrea virginica	Metazoa	184	20.0	1		2
P46168	Bos taurus	Metazoa	62	22.0	1		2
P01270	Homo sapiens	Metazoa	115	25.0	1		2
P51654	Homo sapiens	Metazoa	580	24.0	1		2
Q6UWI4	Homo sapiens	Metazoa	295	33.0	1		2
P33559	Aspergillus kawachii (strain NBRC 4308)	Fungi	327	25.0	1		2
Q8NK90	Aspergillus kawachii (strain NBRC 4308)	Fungi	628	25.0	1		2
Q9H5V8	Homo sapiens	Metazoa	836	29.0	1		2
P00791	Sus scrofa	Metazoa	385	15.0	1		2
Q01528	Limulus polyphemus	Metazoa	172	19.0	1		2
Q95WX6	Olivierus martensii	Metazoa	85	21.0	1		2
P55774	Homo sapiens	Metazoa	89	20.0	1		2
P13909	Bos taurus	Metazoa	402	23.0	1		2
P12822	Oryctolagus cuniculus	Metazoa	1310	33.0	1		2
Q53B58	Ophiophagus hannah	Metazoa	93	21.0	1		2
P07288	Homo sapiens	Metazoa	261	17.0	1		2
P30224	Arabidopsis thaliana	Plants	80	29.0	1		2
P02230	Chironomus thummi thummi	Metazoa	151	15.0	1		2
Q7M4T0	Neurospora crassa (strain ATCC 24698 / 74-OR23-1A / CBS 708.71 / DSM 1257 / FGSC 987)	Fungi	480	17.0	1		2
Q8TAL6	Homo sapiens	Metazoa	211	18.0	1		2
P20334	Mus musculus	Metazoa	256	23.0	1		2
P35759	Polistes exclamans	Metazoa	226	21.0	1		2
Q9LJD9	Arabidopsis thaliana	Plants	60	27.0	1		2
P08289	Rattus norvegicus	Metazoa	524	17.0	1		2
P84039	Rattus norvegicus	Metazoa	477	24.0	1		2
Q8UUG0	Morone saxatilis	Metazoa	79	22.0	1		2
Q5U9S1	Sus scrofa	Metazoa	249	20.0	1		2
P24336	Hottentotta judaicus	Metazoa	85	21.0	1		2
Q5MJP5	Anuroctonus phaiodactylus	Metazoa	90	18.0	1		2
G1CWH3	Clitoria ternatea	Plants	123	28.0	1		2
Q8N4F0	Homo sapiens	Metazoa	458	20.0	1		2
P34754	Aspergillus niger	Fungi	479	19.0	1		2
Q589G4	Anoplius samariensis	Metazoa	75	17.0	1		2
P02712	Tetronarce californica	Metazoa	493	24.0	1		2
P82943	Bos taurus	Metazoa	92	21.0	1		2
P10257	Oncorhynchus keta	Metazoa	137	24.0	1		2
P24817	Momordica charantia	Plants	286	23.0	1		2
P49182	Mus musculus	Metazoa	478	23.0	1		2
Q942A7	Oryza sativa subsp. japonica	Plants	235	27.0	1		2
P33575	Petromyzon marinus	Metazoa	139	19.0	1		2
P35555	Homo sapiens	Metazoa	2871	24.0	1		2
P22325	Cavia porcellus	Metazoa	405	24.0	1		2
P84516	Sorghum bicolor	Plants	362	31.0	1		2
Q7L513	Homo sapiens	Metazoa	359	27.0	1		2
Q8I817	Aplysia californica	Metazoa	88	19.0	1		2
P21828	Bombyx mori	Metazoa	262	16.0	1		2
Q60767	Mus musculus	Metazoa	1723	27.0	1		2
Q64610	Rattus norvegicus	Metazoa	887	27.0	1		2
P49755	Homo sapiens	Metazoa	219	31.0	1		2
Q16663	Homo sapiens	Metazoa	113	21.0	1		2
Q41159	Robinia pseudoacacia	Plants	285	31.0	1		2
P06281	Mus musculus	Metazoa	402	21.0	1		2
Q8WML4	Bos taurus	Metazoa	580	22.0	1		2
Q9P0V8	Homo sapiens	Metazoa	285	22.0	1		2
P20155	Homo sapiens	Metazoa	84	23.0	1		2
P04557	Bos taurus	Metazoa	140	25.0	1		2
Q08830	Homo sapiens	Metazoa	312	22.0	1		2
B3EWY1	Mesobuthus gibbosus	Metazoa	59	22.0	1		2
P21226	Pisum sativum	Plants	324	20.0	1		2
Q5XM24	Dictyostelium discoideum	Other	494	18.0	1		2
P11226	Homo sapiens	Metazoa	248	20.0	1		2
